Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	calltype
19	Spectrogram 1	6	32623.243349472	32707.885320836	0.0	237.9	84.642	7.8	3.9	0.0667	sd
20	Spectrogram 1	6	32918.472917860	32973.205346458	0.0	207.0	54.732	3.9	3.9	0.0755	c
21	Spectrogram 1	6	33002.504490392	33040.349217973	0.0	220.3	37.845	11.7	3.9	0.0714	c
22	Spectrogram 1	6	33900.493475760	33948.714983484	35.2	259.9	48.222	54.7	54.7	0.4107	c
23	Spectrogram 1	6	33766.195089110	33806.684878296	4.4	233.5	40.490	7.8	7.8	0.3860	c
24	Spectrogram 1	6	34321.130090430	34380.135310852	48.5	154.2	59.005	50.8	50.8	0.5000	c
25	Spectrogram 1	6	34164.054124341	34211.258300678	0.0	198.2	47.204	3.9	0.0	0.1000	su
26	Spectrogram 1	6	34218.176154107	34278.605638470	0.0	185.0	60.429	3.9	0.0	0.0426	sd
27	Spectrogram 1	6	34769.081896571	34840.295093632	0.0	198.2	71.213	0.0	0.0	0.1000	su
28	Spectrogram 1	6	34854.334266767	34907.235498870	0.0	264.3	52.901	3.9	0.0	0.4179	su
29	Spectrogram 1	6	34992.203466277	35024.351138093	30.8	207.0	32.148	54.7	50.8	0.3778	c
31	Spectrogram 1	6	35456.106578561	35529.557904672	0.0	189.4	73.451	0.0	0.0	0.0625	sd
32	Spectrogram 1	6	35609.642681424	35653.387931047	123.3	193.8	43.745	179.7	152.3	0.8235	c
33	Spectrogram 1	6	35684.111338922	35739.047233798	0.0	348.0	54.936	3.9	3.9	0.0225	su
34	Spectrogram 1	6	36176.901476072	36243.231482477	8.8	224.7	66.330	125.0	66.4	0.6852	sd
35	Spectrogram 1	6	36507.174023926	36563.737649020	0.0	326.0	56.564	0.0	0.0	0.0361	c
36	Spectrogram 1	6	36753.571685757	36823.157152600	0.0	215.9	69.585	3.9	0.0	0.0364	sd
37	Spectrogram 1	6	36592.222927845	36635.968177468	30.8	127.8	43.745	58.6	50.8	0.4583	c
39	Spectrogram 1	6	36957.567425396	37006.806264506	0.0	444.9	49.239	3.9	0.0	0.0177	sd
40	Spectrogram 1	6	37076.798663904	37131.327626225	0.0	343.6	54.529	0.0	0.0	0.0460	sd
41	Spectrogram 1	6	37333.166173323	37372.842097400	0.0	264.3	39.676	3.9	3.9	0.0299	sd
42	Spectrogram 1	6	37388.712467031	37440.596367747	26.4	237.9	51.884	175.8	78.1	0.6792	c
43	Spectrogram 1	6	37553.032282592	37611.020171628	0.0	392.1	57.988	3.9	0.0	0.0200	sd
44	Spectrogram 1	6	37726.385550867	37789.460096835	0.0	215.9	63.075	3.9	0.0	0.0364	c
45	Spectrogram 1	6	38285.429944424	38314.525622080	17.6	286.3	29.096	93.8	58.6	0.4118	c
46	Spectrogram 1	6	38464.195865674	38513.434704785	0.0	550.7	49.239	0.0	0.0	0.2929	sd
47	Spectrogram 1	6	38660.947755840	38715.476718161	0.0	471.4	54.529	3.9	0.0	0.1833	sd
48	Spectrogram 1	6	38717.714847212	38758.815035230	0.0	326.0	41.100	0.0	0.0	0.0120	c
49	Spectrogram 1	6	38866.448695931	38912.228608327	0.0	365.6	45.780	0.0	0.0	0.0108	c
50	Spectrogram 1	6	38598.687074981	38637.142201394	145.4	233.5	38.455	179.7	171.9	0.4286	c
51	Spectrogram 1	6	38961.793443482	39052.946335720	0.0	400.9	91.153	3.9	0.0	0.0196	c
52	Spectrogram 1	6	39150.610148832	39212.870829691	0.0	343.6	62.261	3.9	0.0	0.1954	su
53	Spectrogram 1	6	39279.811234928	39331.695135644	0.0	515.4	51.884	121.1	70.3	0.2519	su
54	Spectrogram 1	6	39340.647651846	39380.730508478	101.3	211.5	40.083	175.8	168.0	0.6786	c
55	Spectrogram 1	6	39384.250785227	39426.836416918	0.0	348.0	42.586	62.5	3.9	0.1798	c
56	Spectrogram 1	6	39689.104448380	39747.906202524	0.0	365.6	58.802	0.0	0.0	0.0108	su
57	Spectrogram 1	6	39531.418083459	39576.587597023	0.0	383.3	45.170	62.5	3.9	0.1735	c
58	Spectrogram 1	6	39846.192939341	39899.297637721	8.8	361.2	53.105	58.6	54.7	0.1573	c
59	Spectrogram 1	6	39958.616329314	40004.803174265	0.0	480.2	46.187	0.0	3.9	0.2705	su
60	Spectrogram 1	6	40270.490065876	40330.512617685	35.2	273.1	60.023	136.7	78.1	0.5424	sd
61	Spectrogram 1	6	40058.885137466	40098.967994098	52.9	185.0	40.083	93.8	89.8	0.8485	c
62	Spectrogram 1	6	40089.405079064	40139.661249561	0.0	370.0	50.256	50.8	0.0	0.1489	c
63	Spectrogram 1	6	40433.425684062	40468.218417483	0.0	229.1	34.793	0.0	0.0	0.0172	c
64	Spectrogram 1	6	40484.699185946	40541.262811040	0.0	365.6	56.564	0.0	0.0	0.1613	c
65	Spectrogram 1	6	40663.139111153	40705.460096835	0.0	268.7	42.321	0.0	0.0	0.0147	c
66	Spectrogram 1	6	40827.604971489	40866.670496733	13.2	304.0	39.066	62.5	58.6	0.2740	c
67	Spectrogram 1	6	40735.027815309	40779.993862596	132.2	193.8	44.966	179.7	164.1	0.8000	c
68	Spectrogram 1	6	40594.025685128	40632.887744096	0.0	414.1	38.862	121.1	3.9	0.3019	sd
69	Spectrogram 1	6	40887.074545968	40948.724827995	4.4	255.5	61.650	15.6	35.2	0.5556	sd
70	Spectrogram 1	6	40970.699185946	41028.076676149	0.0	339.2	57.377	121.1	0.0	0.3837	sd
71	Spectrogram 1	6	41108.242389412	41158.091627355	35.2	281.9	49.849	54.7	54.7	0.1774	c
72	Spectrogram 1	6	41210.992859457	41251.482648644	114.5	185.0	40.490	171.9	160.2	0.8235	c
73	Spectrogram 1	6	41256.772771854	41316.795323662	30.8	427.3	60.023	117.2	109.4	0.3069	sd
74	Spectrogram 1	6	41392.810774868	41463.820505652	0.0	211.5	71.010	0.0	0.0	0.0185	c
75	Spectrogram 1	6	41695.772061794	41742.162373022	0.0	264.3	46.390	0.0	0.0	0.0597	c
76	Spectrogram 1	6	41894.070745667	41950.227438206	0.0	189.4	56.157	0.0	0.0	0.0208	c
77	Spectrogram 1	6	42130.295093632	42172.819545592	0.0	207.0	42.524	0.0	0.0	0.0189	c
78	Spectrogram 1	6	42208.019211567	42265.193235494	0.0	237.9	57.174	0.0	0.0	0.0167	c
79	Spectrogram 1	6	41994.176154107	42062.744289563	0.0	242.3	68.568	0.0	0.0	0.0161	c
80	Spectrogram 1	6	42611.818835531	42654.953686323	0.0	229.1	43.135	0.0	0.0	0.0172	c
81	Spectrogram 1	6	42775.121319706	42832.702276187	4.4	220.3	57.581	7.8	27.3	0.6111	c
82	Spectrogram 1	6	43319.923073851	43369.161912962	0.0	242.3	49.239	0.0	0.0	0.0161	c
83	Spectrogram 1	6	43937.769221552	43978.055544461	0.0	356.8	40.286	0.0	0.0	0.0110	c
84	Spectrogram 1	6	44169.924243971	44215.297223813	0.0	207.0	45.373	0.0	0.0	0.0189	c
85	Spectrogram 1	6	44224.656672570	44263.518731537	79.3	215.9	38.862	171.9	128.9	0.7059	c
86	Spectrogram 1	6	44588.780372457	44652.872249812	0.0	264.3	64.092	0.0	0.0	0.0149	sd
87	Spectrogram 1	6	44477.901893053	44523.478339172	0.0	233.5	45.576	0.0	0.0	0.0169	c
88	Spectrogram 1	6	44792.572645818	44848.932804635	110.1	207.0	56.360	175.8	144.5	0.7083	c
89	Spectrogram 1	6	44908.141491334	44971.419503580	44.1	246.7	63.278	128.9	93.8	0.5490	sd
90	Spectrogram 1	6	45173.868449510	45294.646481726	0.0	229.1	120.778	0.0	0.0	0.0172	c
91	Spectrogram 1	6	45629.551974190	45688.964127167	0.0	246.7	59.412	0.0	0.0	0.0159	sd
92	Spectrogram 1	6	45701.701566127	45729.983378674	0.0	211.5	28.282	0.0	0.0	0.0185	c
93	Spectrogram 1	6	45902.261090804	45975.712416916	0.0	207.0	73.451	0.0	0.0	0.0189	sd
94	Spectrogram 1	6	46599.924243971	46633.089247174	0.0	237.9	33.165	0.0	0.0	0.0167	c
95	Spectrogram 1	6	46934.341867370	46974.628190279	0.0	559.5	40.286	0.0	0.0	0.2238	c
96	Spectrogram 1	6	46771.568845516	46842.578576300	0.0	215.9	71.010	0.0	0.0	0.0182	sd
97	Spectrogram 1	6	46989.888161078	47022.035832894	39.6	233.5	32.148	78.1	70.3	0.3125	c
98	Spectrogram 1	6	47039.737399020	47062.322155803	13.2	189.4	22.585	74.2	35.2	0.3864	c
99	Spectrogram 1	6	47148.433466088	47253.499519970	0.0	273.1	105.066	0.0	0.0	0.0145	c
100	Spectrogram 1	6	47435.601838169	47467.139111153	0.0	374.4	31.537	0.0	0.0	0.0105	c
101	Spectrogram 1	6	47643.056504521	47665.030862472	0.0	255.5	21.974	0.0	0.0	0.0154	c
102	Spectrogram 1	6	47898.203216277	47928.316225320	0.0	123.3	30.113	0.0	0.0	0.0323	c
103	Spectrogram 1	6	47921.805304446	47977.555064431	123.3	211.5	55.750	168.0	160.2	0.5909	c
104	Spectrogram 1	6	47978.572395818	48016.824055953	0.0	118.9	38.252	0.0	0.0	0.0333	c
105	Spectrogram 1	6	47798.708206669	47844.081186511	0.0	511.0	45.373	0.0	0.0	0.0923	c
106	Spectrogram 1	6	48095.578030147	48117.348921820	0.0	489.0	21.771	0.0	0.0	0.0080	c
107	Spectrogram 1	6	48428.762331010	48464.572395818	0.0	484.6	35.810	0.0	0.0	0.0081	c
108	Spectrogram 1	6	48720.452036172	48761.145291635	0.0	625.6	40.693	0.0	0.0	0.0625	c
109	Spectrogram 1	6	48815.877720234	48914.762331010	0.0	215.9	98.885	0.0	0.0	0.0182	c
110	Spectrogram 1	6	49086.080936511	49129.012321025	0.0	489.0	42.931	0.0	0.0	0.2560	c
111	Spectrogram 1	6	49358.848277882	49395.472207800	0.0	541.9	36.624	0.0	0.0	0.1232	c
112	Spectrogram 1	6	49212.149091937	49278.479098342	26.4	251.1	66.330	121.1	82.0	0.4912	c
113	Spectrogram 1	6	49573.424263941	49636.498809910	0.0	215.9	63.075	0.0	0.0	0.2545	c
114	Spectrogram 1	6	49673.733138659	49718.699185946	0.0	471.4	44.966	0.0	0.0	0.3000	c
115	Spectrogram 1	6	49931.321445742	49974.049363979	0.0	489.0	42.728	0.0	0.0	0.2960	c
116	Spectrogram 1	6	50007.214367182	50074.561704974	0.0	286.3	67.347	0.0	0.0	0.1781	sd
117	Spectrogram 1	6	50355.467697438	50383.546043708	0.0	524.2	28.078	0.0	0.0	0.2612	c
118	Spectrogram 1	6	50390.260430859	50432.377950264	0.0	154.2	42.118	0.0	0.0	0.0256	c
119	Spectrogram 1	6	50192.491209307	50221.993819518	0.0	471.4	29.503	0.0	0.0	0.3250	c
120	Spectrogram 1	6	50556.288913150	50594.337107008	0.0	599.1	38.048	0.0	0.0	0.2549	c
121	Spectrogram 1	6	50864.662853052	50958.867739450	0.0	484.6	94.205	0.0	0.0	0.1129	c
122	Spectrogram 1	6	50749.704406368	50788.566465335	0.0	493.4	38.862	0.0	0.0	0.2222	c
123	Spectrogram 1	6	51058.372140732	51098.568135456	0.0	528.6	40.196	0.0	0.0	0.1852	c
124	Spectrogram 1	6	51412.923533911	51468.266361341	0.0	585.9	55.343	121.1	0.0	0.2081	c
125	Spectrogram 1	6	51193.586886963	51240.587597023	0.0	167.4	47.001	0.0	0.0	0.0238	c
126	Spectrogram 1	6	51558.320985682	51618.547003768	0.0	233.5	60.226	54.7	0.0	0.1525	c
127	Spectrogram 1	6	52266.820435064	52332.946975192	0.0	264.3	66.127	0.0	0.0	0.1493	sd
128	Spectrogram 1	6	52629.612529013	52691.059344763	0.0	400.9	61.447	0.0	0.0	0.2451	sd
129	Spectrogram 1	6	59346.122029766	59397.192065373	118.9	185.0	51.070	171.9	136.7	0.8125	c
130	Spectrogram 1	6	60594.225768086	60631.663563112	123.3	233.5	37.438	179.7	164.1	0.5556	c
131	Spectrogram 1	6	64255.360868877	64290.560534853	0.0	211.5	35.200	3.9	0.0	0.0185	sd
132	Spectrogram 1	6	64455.978618312	64504.607058591	0.0	383.3	48.628	0.0	0.0	0.0204	su
133	Spectrogram 1	6	64868.573617242	64899.093558839	0.0	193.8	30.520	3.9	3.9	0.0408	c
134	Spectrogram 1	6	65964.641721364	66017.949886021	0.0	255.5	53.308	3.9	3.9	0.0462	c
135	Spectrogram 1	6	66459.797703843	66500.694425584	0.0	185.0	40.897	7.8	3.9	0.0638	c
136	Spectrogram 1	6	66328.758537871	66388.984555957	0.0	242.3	60.226	3.9	0.0	0.0323	sd
137	Spectrogram 1	6	66625.134850791	66682.308874717	0.0	286.3	57.174	0.0	3.9	0.0548	sd
138	Spectrogram 1	6	66930.130800490	66986.897891861	0.0	312.8	56.767	3.9	0.0	0.0250	sd
139	Spectrogram 1	6	67075.142156369	67121.999500000	0.0	251.1	46.857	3.9	0.0	0.0312	sd
140	Spectrogram 1	6	66827.320230596	66892.632905615	0.0	237.9	65.313	0.0	0.0	0.0333	sd
141	Spectrogram 1	6	67358.346377732	67426.507580633	0.0	211.5	68.161	70.3	0.0	0.1667	sd
142	Spectrogram 1	6	67228.127960249	67288.760910889	0.0	220.3	60.633	3.9	0.0	0.0536	c
143	Spectrogram 1	6	67611.987889035	67680.352558214	0.0	211.5	68.365	3.9	0.0	0.0370	sd
144	Spectrogram 1	6	67930.005680482	68008.340197249	0.0	193.8	78.335	70.3	0.0	0.1429	sd
145	Spectrogram 1	6	68041.058826362	68087.449137591	0.0	242.3	46.390	3.9	0.0	0.0323	sd
146	Spectrogram 1	6	67805.444877229	67863.636232542	0.0	453.7	58.191	3.9	0.0	0.0345	sd
147	Spectrogram 1	6	68132.373689902	68192.599707988	0.0	321.6	60.226	70.3	0.0	0.2073	sd
148	Spectrogram 1	6	68442.659762811	68502.885780897	0.0	422.9	60.226	70.3	3.9	0.1759	sd
149	Spectrogram 1	6	68718.479098342	68775.856588546	0.0	339.2	57.377	70.3	0.0	0.2558	sd
150	Spectrogram 1	6	68865.788683120	68911.772061794	0.0	202.6	45.983	0.0	0.0	0.0196	c
151	Spectrogram 1	6	69040.078346270	69102.949425961	0.0	352.4	62.871	70.3	3.9	0.3556	sd
152	Spectrogram 1	6	69398.992859457	69477.530842502	0.0	290.7	78.538	0.0	0.0	0.3649	sd
153	Spectrogram 1	6	69182.097807837	69247.003550301	0.0	317.2	64.906	0.0	0.0	0.0617	sd
154	Spectrogram 1	6	69532.792733421	69598.715807272	0.0	396.5	65.923	0.0	0.0	0.3366	sd
155	Spectrogram 1	6	69823.749509985	69888.044853617	0.0	378.9	64.295	117.2	0.0	0.3125	sd
156	Spectrogram 1	6	69641.240259231	69737.479808402	0.0	264.3	96.240	0.0	0.0	0.3134	sd
157	Spectrogram 1	6	69922.227188206	69972.890291258	0.0	299.6	50.663	0.0	0.0	0.4211	sd
158	Spectrogram 1	6	70114.828816315	70185.228148267	0.0	418.5	70.399	3.9	3.9	0.2617	sd
159	Spectrogram 1	6	70411.279182366	70479.236918990	0.0	471.4	67.958	0.0	3.9	0.2000	sd
160	Spectrogram 1	6	70351.053164280	70403.547463828	0.0	198.2	52.494	0.0	0.0	0.0200	c
161	Spectrogram 1	6	70208.653686947	70274.576760798	0.0	361.2	65.923	0.0	0.0	0.2826	sd
162	Spectrogram 1	6	70554.031572532	70617.919983610	0.0	392.1	63.888	0.0	0.0	0.3300	sd
163	Spectrogram 1	6	70830.135310852	70894.634120761	0.0	343.6	64.499	0.0	0.0	0.3333	sd
164	Spectrogram 1	6	70674.986324539	70741.926729776	0.0	497.8	66.940	85.9	3.9	0.1811	sd
165	Spectrogram 1	6	70995.268991522	71060.785132818	0.0	405.3	65.516	78.1	3.9	0.2524	sd
166	Spectrogram 1	6	71308.607058591	71378.599457988	0.0	436.1	69.992	0.0	0.0	0.2613	sd
167	Spectrogram 1	6	71110.634370761	71175.540113225	0.0	304.0	64.906	0.0	0.0	0.2468	sd
168	Spectrogram 1	6	71443.008118062	71495.999500000	0.0	281.9	52.991	0.0	0.0	0.0417	sd
169	Spectrogram 1	6	71615.963667106	71702.640301243	0.0	242.3	86.677	140.6	0.0	0.5323	sd
170	Spectrogram 1	6	71749.641011304	71812.105158440	0.0	383.3	62.464	0.0	0.0	0.0102	sd
171	Spectrogram 1	6	71901.426854182	71963.077136209	0.0	304.0	61.650	0.0	0.0	0.2727	sd
172	Spectrogram 1	6	72219.567175396	72287.524912020	0.0	242.3	67.958	0.0	0.0	0.0161	sd
173	Spectrogram 1	6	72357.924243971	72421.202256217	0.0	246.7	63.278	0.0	0.0	0.3016	sd
174	Spectrogram 1	6	72118.240969292	72178.060054823	0.0	321.6	59.819	0.0	0.0	0.0244	sd
175	Spectrogram 1	6	72536.079766390	72594.474587980	0.0	224.7	58.395	0.0	0.0	0.1930	sd
176	Spectrogram 1	6	72678.099227958	72740.156442540	0.0	193.8	62.057	0.0	0.0	0.0204	sd
177	Spectrogram 1	6	72818.694425584	72882.786302939	0.0	220.3	64.092	0.0	0.0	0.0179	sd
178	Spectrogram 1	6	73130.323825923	73208.658342690	0.0	229.1	78.335	0.0	0.0	0.0690	sd
179	Spectrogram 1	6	73218.628190279	73260.542243406	0.0	224.7	41.914	0.0	0.0	0.0175	sd
180	Spectrogram 1	6	73432.186844951	73489.971267709	0.0	211.5	57.784	0.0	0.0	0.0185	sd
181	Spectrogram 1	6	73514.590687265	73581.327626225	0.0	233.5	66.737	0.0	0.0	0.0169	sd
182	Spectrogram 1	6	73859.596868874	73954.810774868	0.0	251.1	95.214	0.0	0.0	0.2188	sd
183	Spectrogram 1	6	74586.808787116	74651.307597026	0.0	176.2	64.499	0.0	0.0	0.0222	c
184	Spectrogram 1	6	75348.108498681	75418.711296910	0.0	211.5	70.603	0.0	0.0	0.3333	c
185	Spectrogram 1	6	76348.797243783	76416.551514130	0.0	189.4	67.754	0.0	0.0	0.2500	sd
186	Spectrogram 1	6	76739.452496232	76784.622009797	114.5	215.9	45.170	171.9	136.7	0.5600	c
187	Spectrogram 1	6	79370.599707988	79445.475298041	0.0	246.7	74.876	46.9	0.0	0.1905	c
188	Spectrogram 1	6	80009.606348531	80078.988349096	0.0	224.7	69.382	0.0	0.0	0.2807	sd
189	Spectrogram 1	6	80618.093047476	80697.851828184	0.0	242.3	79.759	0.0	0.0	0.3065	sd
190	Spectrogram 1	6	81222.836416918	81290.794153542	0.0	207.0	67.958	0.0	0.0	0.1321	sd
191	Spectrogram 1	6	81863.478921246	81934.488652029	0.0	207.0	71.010	0.0	0.0	0.3208	sd
192	Spectrogram 1	6	82512.650742087	82579.794613602	0.0	246.7	67.144	0.0	0.0	0.1746	sd
193	Spectrogram 1	6	83176.806264506	83241.712006971	0.0	224.7	64.906	0.0	0.0	0.3684	sd
194	Spectrogram 1	6	84177.088077054	84237.110628862	0.0	281.9	60.023	0.0	0.0	0.1250	sd
195	Spectrogram 1	6	84500.192525433	84557.366549359	0.0	246.7	57.174	0.0	0.0	0.0159	sd
196	Spectrogram 1	6	84716.396241711	84801.648611907	0.0	405.3	85.252	168.0	0.0	0.4078	sd
197	Spectrogram 1	6	85075.026352110	85134.235038809	0.0	246.7	59.209	0.0	0.0	0.0952	c
198	Spectrogram 1	6	85157.226728146	85193.850658063	0.0	189.4	36.624	0.0	0.0	0.0208	c
199	Spectrogram 1	6	85469.547463828	85533.435874906	0.0	409.7	63.888	168.0	3.9	0.3942	sd
200	Spectrogram 1	6	85680.257590618	85722.375110023	0.0	246.7	42.118	0.0	0.0	0.1270	c
201	Spectrogram 1	6	86080.993177093	86145.695453280	0.0	405.3	64.702	0.0	0.0	0.4078	sd
