Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Hour	calltype
29	Spectrogram 1	6	12616.548173888	12660.089957234	125.6	210.8	43.542	156.2	152.3	0.6500	3	c
30	Spectrogram 1	6	12933.874629992	12991.862519028	121.1	224.2	57.988	160.2	132.8	0.7308	3	c
31	Spectrogram 1	6	13156.589267144	13209.490499246	125.6	183.9	52.901	183.6	148.4	0.8571	3	c
32	Spectrogram 1	6	13316.513761115	13358.427814243	148.0	188.3	41.914	168.0	156.2	0.6000	3	c
33	Spectrogram 1	6	13518.148841937	13576.747129804	139.0	246.6	58.598	156.2	152.3	0.2593	3	c
34	Spectrogram 1	6	14124.519941598	14185.152892238	148.0	210.8	60.633	164.1	160.2	0.6000	3	c
35	Spectrogram 1	6	14257.586886963	14310.895051620	134.5	246.6	53.308	160.2	152.3	0.2857	3	c
36	Spectrogram 1	6	15850.688495102	15915.390771289	134.5	206.3	64.702	183.6	152.3	0.5882	4	c
37	Spectrogram 1	6	16958.807434627	17008.453206292	89.7	224.2	49.646	152.3	148.4	0.6176	4	c
38	Spectrogram 1	6	21228.836166918	21286.824055953	130.0	201.8	57.988	156.2	152.3	0.5294	5	c
39	Spectrogram 1	6	21714.022301809	21768.754730407	0.0	255.6	54.732	3.9	0.0	0.0154	6	c
40	Spectrogram 1	6	21965.222217784	22011.205596458	0.0	291.5	45.983	148.4	3.9	0.4865	6	sd
41	Spectrogram 1	6	21870.000000000	21896.247149774	152.5	183.9	26.247	171.9	164.1	0.7143	6	c
42	Spectrogram 1	6	22171.943955539	22224.845187641	0.0	192.8	52.901	3.9	3.9	0.8367	6	sd
43	Spectrogram 1	6	22791.824766014	22844.929464393	0.0	520.2	53.105	3.9	0.0	0.0226	6	su
44	Spectrogram 1	6	22478.690165222	22533.219127543	107.6	219.7	54.529	164.1	152.3	0.6071	6	c
45	Spectrogram 1	6	23059.301984175	23140.688495102	0.0	493.3	81.387	3.9	0.0	0.0238	6	su
46	Spectrogram 1	6	23451.910962886	23538.791063301	0.0	255.6	86.880	3.9	3.9	0.0308	6	su
47	Spectrogram 1	6	23733.711756971	23787.630320460	134.5	206.3	53.919	175.8	152.3	0.5882	6	c
48	Spectrogram 1	6	23814.000000000	23854.082856631	0.0	210.8	40.083	3.9	0.0	0.0377	6	c
49	Spectrogram 1	6	24186.139821213	24239.244519593	0.0	237.7	53.105	7.8	0.0	0.0333	6	sd
50	Spectrogram 1	6	24413.127250188	24473.760200829	103.1	206.3	60.633	168.0	148.4	0.7200	6	c
51	Spectrogram 1	6	24672.953686323	24704.287493029	116.6	197.3	31.334	156.2	140.6	0.6500	6	c
52	Spectrogram 1	6	24760.677701833	24813.782400213	103.1	201.8	53.105	160.2	136.7	0.7083	6	sd
53	Spectrogram 1	6	24527.301881750	24577.151119693	85.2	206.3	49.849	132.8	113.3	0.6667	6	c
54	Spectrogram 1	6	24882.849948003	24952.842347400	112.1	219.7	69.992	156.2	140.6	0.5185	6	c
55	Spectrogram 1	6	24983.158822720	25033.821925772	35.9	188.3	50.663	140.6	74.2	0.7895	6	c
56	Spectrogram 1	6	25167.499269970	25211.041053316	139.0	219.7	43.542	175.8	156.2	0.4500	6	c
57	Spectrogram 1	6	25316.152182178	25371.291543331	0.0	215.2	55.139	7.8	3.9	0.0364	7	c
58	Spectrogram 1	6	25459.595907687	25508.834746797	103.1	201.8	49.239	164.1	148.4	0.6667	7	c
59	Spectrogram 1	6	25594.697515825	25636.204636398	0.0	192.8	41.507	7.8	3.9	0.0612	7	c
60	Spectrogram 1	6	25684.019211567	25771.102778259	0.0	210.8	87.084	3.9	0.0	0.0566	7	sd
61	Spectrogram 1	6	25902.257590618	25954.344957611	116.6	210.8	52.087	164.1	144.5	0.6087	7	c
62	Spectrogram 1	6	26210.509000754	26241.232408628	89.7	197.3	30.723	148.4	140.6	0.7407	7	c
63	Spectrogram 1	6	26264.133323100	26297.999500000	9.0	201.8	33.866	11.7	11.7	0.2500	7	c
65	Spectrogram 1	6	26013.869801999	26072.875022422	0.0	180.6	59.005	3.9	0.0	0.0435	7	sd
66	Spectrogram 1	6	26263.532762622	26358.551514130	0.0	198.2	95.019	7.8	3.9	0.0600	7	sd
67	Spectrogram 1	6	26355.906452524	26406.976488131	0.0	193.8	51.070	3.9	3.9	0.0408	7	su
68	Spectrogram 1	6	26541.264231161	26590.299603994	0.0	374.4	49.035	3.9	3.9	0.0211	7	su
69	Spectrogram 1	6	26779.238839111	26821.559824793	127.8	202.6	42.321	171.9	140.6	0.6667	7	c
70	Spectrogram 1	6	26877.309584778	26960.323825923	0.0	255.5	83.014	7.8	0.0	0.0308	7	sd
71	Spectrogram 1	6	27138.967217408	27192.682314619	96.9	202.6	53.715	144.5	125.0	0.6923	7	su
72	Spectrogram 1	6	27213.210500255	27269.999500000	79.3	246.7	56.789	121.1	109.4	0.5000	7	su
73	Spectrogram 1	6	27625.984548794	27666.270871703	0.0	215.9	40.286	3.9	0.0	0.0364	7	c
74	Spectrogram 1	6	27649.993569518	27720.799834024	0.0	202.6	70.806	3.9	3.9	0.0392	7	sd
75	Spectrogram 1	6	27924.110049989	27980.673675083	0.0	757.7	56.564	3.9	3.9	0.0155	7	su
76	Spectrogram 1	6	28381.903362283	28440.298183873	0.0	709.3	58.395	7.8	3.9	0.0110	7	su
77	Spectrogram 1	6	28538.165463263	28570.720067634	0.0	440.5	32.555	7.8	0.0	0.0268	7	c
78	Spectrogram 1	6	28576.620589676	28613.447985870	0.0	215.9	36.827	152.3	3.9	0.0909	7	c
79	Spectrogram 1	6	28404.719135209	28492.413100732	0.0	211.5	87.694	7.8	3.9	0.0370	7	su
80	Spectrogram 1	6	28960.073585908	29019.485738885	0.0	524.2	59.412	183.6	3.9	0.2985	8	su
81	Spectrogram 1	6	29034.135310852	29086.019211567	0.0	220.3	51.884	3.9	3.9	0.0357	8	c
82	Spectrogram 1	6	29107.790103240	29192.635540882	0.0	215.9	84.845	3.9	3.9	0.0364	8	sd
83	Spectrogram 1	6	29282.079766390	29328.673543896	0.0	220.3	46.594	3.9	0.0	0.0536	8	sd
84	Spectrogram 1	6	29524.408102675	29584.023721929	0.0	484.6	59.616	3.9	3.9	0.0161	8	su
85	Spectrogram 1	6	29597.249029955	29627.158572720	0.0	207.0	29.910	7.8	3.9	0.0377	8	c
86	Spectrogram 1	6	29972.156442540	30034.417123399	0.0	563.9	62.261	3.9	0.0	0.0139	8	su
87	Spectrogram 1	6	30132.000000000	30195.074545968	0.0	220.3	63.075	0.0	0.0	0.0179	8	sd
88	Spectrogram 1	6	30408.510670874	30473.212947061	0.0	533.0	64.702	3.9	0.0	0.0147	8	su
89	Spectrogram 1	6	30298.638881123	30349.098517898	79.3	229.1	50.460	164.1	144.5	0.6486	8	c
90	Spectrogram 1	6	30936.017791447	31005.806724567	0.0	467.0	69.789	7.8	0.0	0.0168	8	sd
91	Spectrogram 1	6	30705.083566692	30755.950136021	118.9	237.9	50.867	148.4	148.4	0.4483	8	c
92	Spectrogram 1	6	30777.721027694	30818.821215712	136.6	259.9	41.100	152.3	148.4	0.3226	8	c
93	Spectrogram 1	6	31487.737399020	31542.469827619	0.0	436.1	54.732	164.1	0.0	0.0270	8	su
94	Spectrogram 1	6	31118.039173135	31163.412152977	0.0	246.7	45.373	3.9	0.0	0.0317	8	c
95	Spectrogram 1	6	31259.855168425	31305.838547099	110.1	220.3	45.983	171.9	148.4	0.5926	8	c
96	Spectrogram 1	6	31595.697055765	31637.611108892	0.0	251.1	41.914	0.0	0.0	0.0156	8	c
97	Spectrogram 1	6	31973.330466466	32027.249029955	0.0	255.5	53.919	7.8	0.0	0.0308	8	c
98	Spectrogram 1	6	31734.471073599	31786.761906870	114.5	237.9	52.291	164.1	144.5	0.5000	8	c
99	Spectrogram 1	6	32088.909328686	32146.806264506	0.0	396.5	57.897	160.2	0.0	0.0396	8	su
100	Spectrogram 1	6	32217.612529013	32264.409772796	30.8	220.3	46.797	148.4	82.0	0.7083	8	c
101	Spectrogram 1	6	32292.081186511	32338.064565185	114.5	237.9	45.983	175.8	152.3	0.5333	8	c
102	Spectrogram 1	6	32468.486448945	32538.682314619	0.0	299.6	70.196	0.0	0.0	0.0263	9	su
103	Spectrogram 1	6	32566.557194612	32612.133640731	0.0	251.1	45.576	0.0	0.0	0.0156	9	c
104	Spectrogram 1	6	32637.485988885	32693.439215147	0.0	475.8	55.953	3.9	0.0	0.0165	9	su
105	Spectrogram 1	6	32798.490422385	32892.695308782	0.0	268.7	94.205	3.9	0.0	0.0147	9	c
106	Spectrogram 1	6	33068.346627732	33129.996909759	0.0	198.2	61.650	3.9	0.0	0.0200	9	c
107	Spectrogram 1	6	33322.272541824	33374.766841372	0.0	255.5	52.494	3.9	0.0	0.0154	9	su
108	Spectrogram 1	6	34067.204176338	34150.014951206	88.1	237.9	82.811	136.7	140.6	0.5676	9	c
109	Spectrogram 1	6	34206.375110023	34257.241679352	0.0	259.9	50.867	0.0	0.0	0.0152	9	c
110	Spectrogram 1	6	34716.994529578	34765.826436134	118.9	211.5	48.832	156.2	148.4	0.6087	9	c
111	Spectrogram 1	6	35376.551264130	35433.725288056	114.5	233.5	57.174	156.2	144.5	0.4828	9	c
112	Spectrogram 1	6	35703.033702713	35740.471497739	118.9	207.0	37.438	168.0	144.5	0.6364	9	c
113	Spectrogram 1	6	36000.223434062	36017.999500000	123.3	202.6	17.776	164.1	152.3	0.6316	10	c
115	Spectrogram 1	6	35999.606598531	36044.572645818	127.8	202.6	44.966	164.1	152.3	0.6111	9	c
116	Spectrogram 1	6	36169.297473813	36219.757110588	105.7	215.9	50.460	160.2	152.3	0.6296	10	c
117	Spectrogram 1	6	36478.485278824	36524.875590053	118.9	198.2	46.390	168.0	148.4	0.7368	10	c
118	Spectrogram 1	6	37094.093297476	37144.959866805	110.1	185.0	50.867	144.5	136.7	0.5556	10	c
119	Spectrogram 1	6	37249.541533346	37299.797703843	105.7	229.1	50.256	175.8	152.3	0.5667	10	c
120	Spectrogram 1	6	38324.698935946	38382.076426149	105.7	268.7	57.377	152.3	148.4	0.4250	10	su
121	Spectrogram 1	6	38776.109668802	38831.859428787	0.0	590.3	55.750	171.9	0.0	0.0265	10	c
122	Spectrogram 1	6	39209.985368567	39273.670313367	0.0	220.3	63.685	164.1	0.0	0.0357	10	su
123	Spectrogram 1	6	39673.234078749	39742.819545592	0.0	383.3	69.585	168.0	0.0	0.2449	11	su
124	Spectrogram 1	6	39483.196575735	39565.193485494	141.0	207.0	81.997	156.2	152.3	0.4375	10	c
125	Spectrogram 1	6	39942.949425961	40004.599707988	0.0	198.2	61.650	156.2	3.9	0.8600	11	c
126	Spectrogram 1	6	40064.825726074	40113.454166353	145.4	202.6	48.628	168.0	156.2	0.5385	11	c
127	Spectrogram 1	6	41874.131050490	41933.950136021	123.3	198.2	59.819	160.2	152.3	0.7222	11	c
128	Spectrogram 1	6	41938.222927845	41988.275632065	105.7	180.6	50.053	152.3	148.4	0.8333	11	c
129	Spectrogram 1	6	42375.594487566	42435.006640543	0.0	163.0	59.412	160.2	0.0	0.0244	11	song
130	Spectrogram 1	6	42425.850658063	42489.942535418	0.0	215.9	64.092	0.0	0.0	0.0182	11	song
131	Spectrogram 1	6	42512.703208738	42534.270634133	0.0	123.3	21.567	0.0	0.0	0.0323	11	song
132	Spectrogram 1	6	42520.231460999	42579.033215143	0.0	233.5	58.802	156.2	0.0	0.0169	11	song
133	Spectrogram 1	6	42582.695608135	42646.380552935	0.0	189.4	63.685	156.2	0.0	0.1042	11	c
134	Spectrogram 1	6	40134.920041635	40185.786610965	88.1	185.0	50.867	171.9	113.3	0.7917	11	c
135	Spectrogram 1	6	40301.477986247	40332.201394122	0.0	92.5	30.723	89.8	0.0	0.0435	11	song
136	Spectrogram 1	6	40324.062743029	40365.569863602	0.0	229.1	41.507	175.8	0.0	0.0172	11	song
137	Spectrogram 1	6	40630.889889224	40667.310352864	0.0	193.8	36.420	0.0	0.0	0.0204	11	song
138	Spectrogram 1	6	40655.712775057	40719.601186134	0.0	317.2	63.888	171.9	0.0	0.0123	11	song
139	Spectrogram 1	6	41253.741757347	41318.444033534	0.0	215.9	64.702	156.2	0.0	0.7273	11	c
140	Spectrogram 1	6	41284.872097777	41371.548731914	101.3	198.2	86.677	156.2	148.4	0.7083	11	c
141	Spectrogram 1	6	41413.809617748	41445.957289564	0.0	180.6	32.148	168.0	0.0	0.0217	11	song
142	Spectrogram 1	6	41437.615172194	41479.122292767	0.0	312.8	41.507	0.0	0.0	0.0125	11	song
143	Spectrogram 1	6	41481.563888094	41503.334779767	0.0	198.2	21.771	0.0	0.0	0.0200	11	song
144	Spectrogram 1	6	41496.416926339	41543.214170122	0.0	277.5	46.797	156.2	0.0	0.0282	11	song
145	Spectrogram 1	6	41682.567733421	41728.144179540	0.0	189.4	45.576	152.3	0.0	0.6667	11	song
146	Spectrogram 1	6	41713.087675019	41781.655810475	0.0	290.7	68.568	0.0	0.0	0.0135	11	song
147	Spectrogram 1	6	42188.914361153	42269.080074416	0.0	295.2	80.166	152.3	0.0	0.4667	11	song
148	Spectrogram 1	6	42173.654390354	42198.884208742	0.0	149.8	25.230	148.4	0.0	0.0789	11	song
149	Spectrogram 1	6	42652.736536925	42677.355956481	0.0	286.3	24.619	136.7	0.0	0.0959	11	song
150	Spectrogram 1	6	42668.606906556	42721.508138659	0.0	202.6	52.901	152.3	0.0	0.6863	11	song
151	Spectrogram 1	6	42724.763599096	42746.331024491	0.0	163.0	21.567	0.0	0.0	0.0244	11	song
152	Spectrogram 1	6	42742.668631500	42836.670051620	0.0	220.3	94.001	128.9	0.0	0.5893	11	song
153	Spectrogram 1	6	42940.234386775	42961.598345893	0.0	180.6	21.364	171.9	0.0	0.8696	11	song
154	Spectrogram 1	6	42956.308222683	43034.439273173	0.0	211.5	78.131	152.3	0.0	0.7222	11	song
155	Spectrogram 1	6	43231.924091937	43266.106426526	0.0	180.6	34.182	156.2	0.0	0.8696	12	song
156	Spectrogram 1	6	43256.950444047	43308.020479653	0.0	286.3	51.070	152.3	3.9	0.5479	12	song
157	Spectrogram 1	6	43913.658650716	44010.915531274	0.0	185.0	97.257	156.2	0.0	0.5106	12	c
158	Spectrogram 1	6	44020.885378862	44063.409830821	0.0	242.3	42.524	152.3	0.0	0.6290	12	c
159	Spectrogram 1	6	44945.274269970	44973.149149962	0.0	233.5	27.875	0.0	0.0	0.0169	12	song
160	Spectrogram 1	6	44968.265959307	45023.608786737	0.0	286.3	55.343	0.0	0.0	0.1781	12	song
161	Spectrogram 1	6	44858.190703278	44898.680492464	0.0	229.1	40.490	15.6	0.0	0.0172	12	c
162	Spectrogram 1	6	44910.074603994	44942.629208365	0.0	524.2	32.555	156.2	0.0	0.1791	12	c
163	Spectrogram 1	6	45055.065123210	45092.706384514	0.0	229.1	37.641	0.0	0.0	0.2241	12	c
164	Spectrogram 1	6	45577.282120573	45635.676942163	0.0	242.3	58.395	156.2	0.0	0.6613	12	c
165	Spectrogram 1	6	45640.560132818	45685.119247551	0.0	237.9	44.559	156.2	0.0	0.7000	12	c
166	Spectrogram 1	6	45744.734866805	45797.839565185	0.0	229.1	53.105	3.9	0.0	0.0345	12	c
167	Spectrogram 1	6	45832.428832329	45891.027120196	35.2	198.2	58.598	160.2	85.9	0.7750	12	c
168	Spectrogram 1	6	45913.815343255	45937.010498870	0.0	224.7	23.195	0.0	0.0	0.0175	12	song
169	Spectrogram 1	6	45932.127308214	45986.249337980	0.0	255.5	54.122	0.0	0.0	0.0154	12	song
170	Spectrogram 1	6	46004.572569704	46075.774500000	0.0	211.5	71.202	3.9	0.0	0.0185	12	c
172	Spectrogram 1	6	46159.114737189	46193.500538056	0.0	255.5	34.386	0.0	0.0	0.0154	12	song
173	Spectrogram 1	6	46181.496027694	46257.795881688	0.0	330.4	76.300	3.9	0.0	0.0952	12	song
174	Spectrogram 1	6	46529.342425396	46602.386818953	101.3	233.5	73.044	156.2	140.6	0.5152	12	c
175	Spectrogram 1	6	46687.842655426	46718.769529578	0.0	176.2	30.927	168.0	0.0	0.5111	12	song
176	Spectrogram 1	6	46713.479406368	46759.259318764	0.0	251.1	45.780	27.3	0.0	0.1250	12	song
177	Spectrogram 1	6	46781.640609269	46808.294691598	0.0	202.6	26.654	156.2	0.0	0.3529	12	song
178	Spectrogram 1	6	46796.900580068	46848.987947061	0.0	295.2	52.087	156.2	0.0	0.2000	12	song
179	Spectrogram 1	6	46925.694733610	46979.409830821	0.0	202.6	53.715	160.2	0.0	0.2549	13	c
180	Spectrogram 1	6	47094.287340995	47130.504338357	0.0	193.8	36.217	3.9	0.0	0.1020	13	song
181	Spectrogram 1	6	47122.162220987	47199.886338922	0.0	378.9	77.724	0.0	0.0	0.1250	13	song
182	Spectrogram 1	6	47479.775000000	47538.373287867	0.0	215.9	58.598	156.2	0.0	0.5455	13	c
183	Spectrogram 1	6	47549.157000565	47600.023569895	0.0	229.1	50.867	156.2	0.0	0.0172	13	c
184	Spectrogram 1	6	47778.666961379	47841.334574793	0.0	255.5	62.668	3.9	0.0	0.0308	13	su
185	Spectrogram 1	6	48142.994127543	48209.324133949	0.0	563.9	66.330	7.8	0.0	0.0208	13	su
186	Spectrogram 1	6	48294.576504145	48331.607366616	66.1	233.5	37.031	183.6	148.4	0.7143	13	song
187	Spectrogram 1	6	48325.706844574	48367.417431424	0.0	321.6	41.711	3.9	0.0	0.0366	13	song
188	Spectrogram 1	6	48412.586944989	48464.674311982	26.4	193.8	52.087	160.2	50.8	0.7619	13	c
189	Spectrogram 1	6	48476.190953278	48539.062032969	0.0	220.3	62.871	3.9	0.0	0.0357	13	c
190	Spectrogram 1	6	48729.099535983	48802.347395818	0.0	568.3	73.248	0.0	0.0	0.0069	13	su
191	Spectrogram 1	6	48808.654850414	48856.469425584	0.0	259.9	47.815	7.8	3.9	0.0455	13	su
192	Spectrogram 1	6	48631.842655426	48711.601436134	0.0	193.8	79.759	11.7	0.0	0.2041	13	c
193	Spectrogram 1	6	48882.309642803	48955.964435192	0.0	176.2	73.655	156.2	0.0	0.0444	13	c
194	Spectrogram 1	6	49034.828414280	49096.071763753	17.6	207.0	61.243	160.2	121.1	0.8125	13	c
195	Spectrogram 1	6	49383.976546157	49447.051092125	0.0	414.1	63.075	3.9	0.0	0.0189	13	su
196	Spectrogram 1	6	49729.177882253	49798.152950264	0.0	211.5	68.975	7.8	0.0	0.0370	13	su
197	Spectrogram 1	6	50024.936912962	50087.604526375	0.0	524.2	62.668	3.9	0.0	0.2836	13	su
198	Spectrogram 1	6	49925.034970799	49968.169821590	0.0	233.5	43.135	171.9	0.0	0.0339	13	c
199	Spectrogram 1	6	50375.672083461	50432.846107387	118.9	220.3	57.174	156.2	152.3	0.5600	13	c
200	Spectrogram 1	6	50127.646691411	50187.262310665	0.0	277.5	59.616	160.2	0.0	0.0141	13	c
201	Spectrogram 1	6	50784.395589676	50841.773079879	0.0	237.9	57.377	0.0	0.0	0.0167	14	c
202	Spectrogram 1	6	50614.933847399	50683.705449132	0.0	528.6	68.772	156.2	0.0	0.0074	14	su
203	Spectrogram 1	6	50924.706384514	51008.331024491	0.0	246.7	83.625	3.9	0.0	0.0159	14	c
204	Spectrogram 1	6	51037.019769593	51094.600726074	0.0	215.9	57.581	3.9	0.0	0.0182	14	c
205	Spectrogram 1	6	51237.637519028	51309.664581198	0.0	612.3	72.027	156.2	0.0	0.0769	14	su
206	Spectrogram 1	6	51571.132969290	51643.566964015	0.0	229.1	72.434	156.2	0.0	0.5690	14	c
207	Spectrogram 1	6	52178.914111153	52251.551572155	0.0	220.3	72.637	0.0	0.0	0.0179	14	song
208	Spectrogram 1	6	52353.407240580	52420.144179540	0.0	295.2	66.737	0.0	0.0	0.0133	14	su
209	Spectrogram 1	6	53477.193083459	53542.302292200	149.8	211.5	65.109	168.0	164.1	0.7333	14	c
210	Spectrogram 1	6	54613.390369254	54713.088845139	0.0	326.0	99.698	74.2	70.3	0.4096	15	su
211	Spectrogram 1	6	54696.404610399	54774.128728335	0.0	211.5	77.724	70.3	58.6	0.5185	15	c
212	Spectrogram 1	6	56167.222985870	56220.327684250	0.0	471.4	53.105	0.0	0.0	0.0083	15	su
213	Spectrogram 1	6	56015.640609269	56064.472515825	118.9	215.9	48.832	171.9	144.5	0.5833	15	c
214	Spectrogram 1	6	56279.658900716	56303.057522607	0.0	202.6	23.399	0.0	0.0	0.0196	15	song
215	Spectrogram 1	6	56300.412461002	56340.291851356	0.0	308.4	39.879	0.0	0.0	0.0128	15	song
216	Spectrogram 1	6	57048.883958742	57120.504088357	0.0	396.5	71.620	0.0	0.0	0.0099	15	sd
217	Spectrogram 1	6	57339.149399962	57416.873517898	0.0	237.9	77.724	0.0	0.0	0.0167	15	c
218	Spectrogram 1	6	57451.666251319	57514.130398455	0.0	352.4	62.464	0.0	0.0	0.0111	15	su
219	Spectrogram 1	6	59114.149860023	59159.319373587	0.0	290.7	45.170	97.7	0.0	0.0135	16	c
220	Spectrogram 1	6	59429.645119631	59495.975126036	0.0	436.1	66.330	89.8	0.0	0.2252	16	c
221	Spectrogram 1	6	59699.970865674	59799.262409005	0.0	202.6	99.292	82.0	0.0	0.0196	16	sd
222	Spectrogram 1	6	60124.320583647	60162.165311228	70.5	207.0	37.845	101.6	93.8	0.7059	16	c
223	Spectrogram 1	6	60204.282830633	60223.815593255	0.0	145.4	19.533	0.0	0.0	0.0270	16	song
224	Spectrogram 1	6	60222.798261869	60281.803482291	0.0	224.7	59.005	93.8	0.0	0.4912	16	song
225	Spectrogram 1	6	60311.306092502	60388.419811605	0.0	198.2	77.114	93.8	0.0	0.0200	16	c
226	Spectrogram 1	6	60640.230126413	60680.719915599	0.0	207.0	40.490	0.0	0.0	0.4717	16	c
227	Spectrogram 1	6	60968.828164280	61040.855226451	0.0	224.7	72.027	89.8	0.0	0.3684	16	c
228	Spectrogram 1	6	60815.490966211	60894.232415533	0.0	215.9	78.741	82.0	0.0	0.4000	16	sd
229	Spectrogram 1	6	61353.908890731	61392.770949699	0.0	176.2	38.862	85.9	0.0	0.4889	17	c
230	Spectrogram 1	6	61407.827454220	61451.776170121	141.0	193.8	43.949	179.7	160.2	0.7500	17	c
231	Spectrogram 1	6	61964.837185004	62040.933572720	0.0	233.5	76.096	89.8	0.0	0.4068	17	c
232	Spectrogram 1	6	62138.719915599	62157.235346835	26.4	220.3	18.515	78.1	78.1	0.4490	17	song
233	Spectrogram 1	6	62156.421481726	62195.080074416	0.0	273.1	38.659	89.8	0.0	0.0145	17	song
234	Spectrogram 1	6	62254.288761115	62303.527600226	110.1	224.7	49.239	121.1	140.6	0.6429	17	c
235	Spectrogram 1	6	62847.515489261	62903.875648078	110.1	189.4	56.360	179.7	140.6	0.8421	17	c
236	Spectrogram 1	6	62790.690798163	62833.622182677	105.7	211.5	42.931	179.7	160.2	0.7692	17	c
237	Spectrogram 1	6	63377.667671439	63434.841695365	0.0	189.4	57.174	85.9	0.0	0.4792	17	c
238	Spectrogram 1	6	64313.654140354	64360.451384137	26.4	229.1	46.797	82.0	78.1	0.4510	17	c
239	Spectrogram 1	6	64919.495777694	64992.540171251	35.2	259.9	73.044	97.7	89.8	0.5536	18	c
240	Spectrogram 1	6	73945.073685001	74005.503169364	0.0	273.1	60.429	171.9	3.9	0.6232	20	c
241	Spectrogram 1	6	74487.913401093	74537.762639035	0.0	422.9	49.849	3.9	0.0	0.0185	20	su
242	Spectrogram 1	6	74700.598894062	74766.377798229	0.0	251.1	65.779	0.0	0.0	0.0156	20	c
243	Spectrogram 1	6	75178.474017902	75235.774500000	0.0	467.0	57.300	3.9	0.0	0.0336	20	su
244	Spectrogram 1	6	74931.059024684	74982.739459122	0.0	317.2	51.680	62.5	0.0	0.1605	20	su
245	Spectrogram 1	6	75335.188573097	75379.137288998	0.0	436.1	43.949	3.9	0.0	0.0090	20	c
246	Spectrogram 1	6	75381.501884393	75464.109192984	0.0	176.2	82.607	0.0	0.0	0.0222	20	c
247	Spectrogram 1	6	75717.624237943	75793.110226827	0.0	585.9	75.486	3.9	0.0	0.0738	21	su
248	Spectrogram 1	6	75980.909600791	76029.538041070	0.0	458.1	48.628	0.0	0.0	0.5470	21	su
