Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	calltype
31	Spectrogram 1	6	5234.174483986	5292.976238131	0.0	251.1	58.802	0.0	0.0	0.0156	C
32	Spectrogram 1	6	5362.073835908	5409.278012246	0.0	193.8	47.204	3.9	0.0	0.0204	C
33	Spectrogram 1	6	5927.018751507	5970.560534853	127.8	220.3	43.542	168.0	136.7	0.5652	C
34	Spectrogram 1	6	6181.148131876	6268.638631123	0.0	211.5	87.490	0.0	0.0	0.0185	C
35	Spectrogram 1	6	6774.781792577	6843.756860588	0.0	528.6	68.975	3.9	0.0	0.0074	SU
36	Spectrogram 1	6	6535.301984175	6573.757110588	0.0	220.3	38.455	156.2	0.0	0.7143	C
38	Spectrogram 1	6	6938.287743029	7034.323825923	0.0	299.6	96.036	3.9	0.0	0.0132	SD
39	Spectrogram 1	6	7330.896721741	7392.343537491	0.0	541.9	61.447	3.9	0.0	0.0072	SU
40	Spectrogram 1	6	7631.619879616	7687.776572155	0.0	440.5	56.157	0.0	0.0	0.0089	SU
41	Spectrogram 1	6	7704.257340618	7760.820965712	61.7	229.1	56.564	93.8	89.8	0.5714	C
42	Spectrogram 1	6	7529.556816508	7586.527374156	145.2	201.6	56.971	171.9	156.2	0.6923	SD
43	Spectrogram 1	6	8087.506870573	8142.239299171	0.0	528.2	54.732	0.0	0.0	0.0074	SU
44	Spectrogram 1	6	8116.195615674	8167.062185004	0.0	193.5	50.867	0.0	0.0	0.0204	C
45	Spectrogram 1	6	8821.044393557	8879.439215147	0.0	689.5	58.395	0.0	0.0	0.0057	SU
46	Spectrogram 1	6	8890.403093952	8971.185277218	0.0	229.1	80.782	97.7	0.0	0.2759	SD
47	Spectrogram 1	6	9016.094238186	9070.311929920	105.7	242.3	54.218	132.8	140.6	0.5882	SD
48	Spectrogram 1	6	9293.661235081	9366.386974194	118.9	176.2	72.726	171.9	140.6	0.8571	C
49	Spectrogram 1	6	9369.870841935	9424.306275403	0.0	511.0	54.435	0.0	0.0	0.0077	SU
50	Spectrogram 1	6	9729.145152823	9817.983780242	0.0	299.6	88.839	0.0	0.0	0.0132	SD
51	Spectrogram 1	6	9847.814397782	9906.604665927	0.0	493.4	58.790	171.9	0.0	0.1508	SU
52	Spectrogram 1	6	10373.661135081	10428.749793750	0.0	550.7	55.089	0.0	0.0	0.0071	SU
53	Spectrogram 1	6	10710.072563911	10788.241846371	0.0	233.5	78.169	164.1	0.0	0.0169	SD
54	Spectrogram 1	6	11093.951240726	11182.572126411	0.0	176.2	88.621	160.2	0.0	0.2444	C
55	Spectrogram 1	6	10947.628795565	11064.120623185	0.0	220.3	116.492	0.0	0.0	0.0179	C
56	Spectrogram 1	6	11659.537818311	11717.999500000	0.0	193.8	58.462	0.0	0.0	0.0204	SD
57	Spectrogram 1	6	11445.715435650	11499.715385650	0.0	431.7	54.000	0.0	0.0	0.0091	SU
58	Spectrogram 1	6	12059.201246976	12116.902806452	0.0	449.3	57.702	0.0	0.0	0.0087	SU
59	Spectrogram 1	6	12207.048334274	12289.136967944	0.0	198.2	82.089	0.0	0.0	0.0200	SD
60	Spectrogram 1	6	12454.620685685	12532.354484677	0.0	193.8	77.734	0.0	0.0	0.0204	C
61	Spectrogram 1	6	23867.918563489	23906.984088734	132.2	207.0	39.066	156.2	156.2	0.5789	C
62	Spectrogram 1	6	24396.443015448	24447.716517332	0.0	475.8	51.274	3.9	0.0	0.0165	SU
63	Spectrogram 1	6	24910.724827995	24977.054834401	0.0	193.8	66.330	3.9	0.0	0.0204	C
64	Spectrogram 1	6	25910.803174265	25961.466277317	0.0	202.6	50.663	3.9	0.0	0.0392	SU
65	Spectrogram 1	6	26335.356358515	26391.716517332	0.0	660.8	56.360	3.9	0.0	0.0178	SU
66	Spectrogram 1	6	26611.256630558	26693.863939148	0.0	193.8	82.607	3.9	0.0	0.0408	C
67	Spectrogram 1	6	27084.641721364	27149.547463828	0.0	656.4	64.906	3.9	0.0	0.0119	SU
68	Spectrogram 1	6	27486.406682555	27563.927334213	0.0	207.0	77.521	3.9	0.0	0.0189	C
69	Spectrogram 1	6	27869.859678787	27927.440635268	83.7	202.6	57.581	160.2	105.5	0.6552	C
70	Spectrogram 1	6	28211.195155614	28321.677344197	0.0	207.0	110.482	3.9	0.0	0.0377	SU
71	Spectrogram 1	6	28587.607768651	28662.279892427	0.0	365.6	74.672	3.9	3.9	0.0323	SU
72	Spectrogram 1	6	28727.104698380	28821.919983610	0.0	207.0	94.815	171.9	3.9	0.6981	SU
73	Spectrogram 1	6	28864.240969292	28904.730758478	0.0	409.7	40.490	164.1	3.9	0.3462	SU
74	Spectrogram 1	6	28958.852788244	29034.745709683	30.8	215.9	75.893	152.3	101.6	0.7447	C
75	Spectrogram 1	6	29063.434454785	29104.331176526	0.0	193.8	40.897	3.9	0.0	0.0408	SU
76	Spectrogram 1	6	29229.178534288	29312.803174265	0.0	193.8	83.625	164.1	0.0	0.7551	SU
77	Spectrogram 1	6	29548.056515885	29574.303665659	0.0	185.0	26.247	160.2	3.9	0.8511	C
78	Spectrogram 1	6	29387.928555636	29443.881781899	0.0	506.6	55.953	3.9	0.0	0.0155	SU
79	Spectrogram 1	6	29605.840938643	29667.694686948	0.0	215.9	61.854	160.2	3.9	0.7273	C
80	Spectrogram 1	6	29680.996199699	29709.684944800	0.0	180.6	28.689	3.9	0.0	0.0435	S
81	Spectrogram 1	6	29731.048903919	29773.980288433	0.0	484.6	42.931	3.9	0.0	0.0161	S
82	Spectrogram 1	6	29886.008770723	29947.252120196	0.0	198.2	61.243	168.0	0.0	0.4800	SU
83	Spectrogram 1	6	30136.191355313	30182.988599096	0.0	409.7	46.797	7.8	3.9	0.3654	SU
84	Spectrogram 1	6	30426.433808276	30490.932618186	0.0	198.2	64.499	7.8	0.0	0.0400	C
85	Spectrogram 1	6	30290.518335028	30373.125643619	0.0	242.3	82.607	0.0	0.0	0.0323	C
86	Spectrogram 1	6	30880.593527506	30934.308624717	0.0	422.9	53.715	3.9	0.0	0.0185	SU
87	Spectrogram 1	6	30987.006390543	31052.522531839	0.0	207.0	65.516	3.9	0.0	0.3396	SU
88	Spectrogram 1	6	31050.284402788	31096.674714017	0.0	321.6	46.390	164.1	3.9	0.5000	C
89	Spectrogram 1	6	31110.632950641	31186.322405803	0.0	224.7	75.689	7.8	0.0	0.0526	C
90	Spectrogram 1	6	31234.136980972	31267.301984175	0.0	268.7	33.165	3.9	0.0	0.0588	SU
91	Spectrogram 1	6	31353.978618312	31387.754020347	0.0	312.8	33.775	3.9	0.0	0.0250	SU
92	Spectrogram 1	6	31455.508290693	31566.804344386	0.0	171.8	111.296	3.9	0.0	0.0465	C
93	Spectrogram 1	6	31503.729798417	31554.799834024	0.0	784.1	51.070	3.9	0.0	0.0200	SU
94	Spectrogram 1	6	31632.849948003	31727.054834401	0.0	193.8	94.205	7.8	3.9	0.0408	S
95	Spectrogram 1	6	31821.463187076	31915.668073474	0.0	237.9	94.205	7.8	0.0	0.0500	C
96	Spectrogram 1	6	32006.799057338	32070.077069584	0.0	594.7	63.278	3.9	0.0	0.0724	SU
97	Spectrogram 1	6	32177.041303316	32247.033702713	0.0	251.1	69.992	164.1	0.0	0.3594	SD
98	Spectrogram 1	6	32253.659190090	32305.136158251	127.8	207.0	51.477	156.2	144.5	0.5500	C
99	Spectrogram 1	6	32549.100188018	32595.490499246	0.0	691.6	46.390	3.9	0.0	0.0113	SU
100	Spectrogram 1	6	32660.192775433	32683.794863602	0.0	185.0	23.602	3.9	0.0	0.0426	C
101	Spectrogram 1	6	32704.751890166	32759.891251319	0.0	326.0	55.139	168.0	3.9	0.4940	C
102	Spectrogram 1	6	32768.056819200	32832.555629110	0.0	202.6	64.499	164.1	3.9	0.8039	C
103	Spectrogram 1	6	33028.182334589	33047.511630934	0.0	220.3	19.329	3.9	0.0	0.0179	S
104	Spectrogram 1	6	33076.403842313	33138.054124341	0.0	524.2	61.650	39.1	0.0	0.0149	S
105	Spectrogram 1	6	33264.406682555	33314.662853052	0.0	264.3	50.256	3.9	0.0	0.1493	C
106	Spectrogram 1	6	33969.051994160	34014.018041447	0.0	211.5	44.966	39.1	3.9	0.2407	S
107	Spectrogram 1	6	34014.831906556	34065.291543331	0.0	563.9	50.460	3.9	0.0	0.0278	S
108	Spectrogram 1	6	34187.619225949	34263.512147388	0.0	255.5	75.893	3.9	0.0	0.1231	SU
109	Spectrogram 1	6	34585.880810475	34637.561244913	0.0	515.4	51.680	168.0	0.0	0.2824	SU
110	Spectrogram 1	6	36358.846607762	36407.678514318	118.9	237.9	48.832	121.1	125.0	0.3103	C
111	Spectrogram 1	6	36949.550804069	37010.387220987	0.0	211.5	60.836	0.0	0.0	0.0185	C
112	Spectrogram 1	6	37254.546753768	37319.249029955	0.0	207.0	64.702	0.0	0.0	0.0189	SD
113	Spectrogram 1	6	37381.632240580	37430.667613414	0.0	427.3	49.035	0.0	0.0	0.0092	SU
114	Spectrogram 1	6	37642.272541824	37698.022301809	0.0	242.3	55.750	0.0	0.0	0.0161	C
115	Spectrogram 1	6	37854.000000000	37924.806264506	0.0	215.9	70.806	0.0	0.0	0.0182	SD
116	Spectrogram 1	6	38185.243099472	38234.481938583	0.0	449.3	49.239	0.0	0.0	0.0087	SD
117	Spectrogram 1	6	38341.301734175	38387.692045403	0.0	237.9	46.390	0.0	0.0	0.0167	SD
118	Spectrogram 1	6	38663.714847212	38685.485738885	0.0	392.1	21.771	0.0	0.0	0.0100	S
119	Spectrogram 1	6	38498.093297476	38513.149801997	0.0	378.9	15.057	0.0	0.0	0.0104	S
120	Spectrogram 1	6	38518.439925207	38539.193485494	0.0	409.7	20.754	0.0	0.0	0.0096	S
121	Spectrogram 1	6	38698.100648078	38718.650742087	0.0	202.6	20.550	0.0	0.0	0.0196	S
122	Spectrogram 1	6	38718.650742087	38738.997369819	0.0	489.0	20.347	152.3	0.0	0.3040	S
123	Spectrogram 1	6	38754.053874341	38764.430654484	0.0	422.9	10.377	168.0	0.0	0.0833	S
124	Spectrogram 1	6	38778.062895064	38805.530842502	0.0	317.2	27.468	0.0	0.0	0.0123	C
125	Spectrogram 1	6	38839.509710814	38865.553394310	0.0	528.6	26.044	132.8	0.0	0.0148	S
126	Spectrogram 1	6	38581.526362971	38625.678545149	0.0	215.9	44.152	0.0	0.0	0.0182	C
127	Spectrogram 1	6	38887.446815750	38938.109918802	0.0	365.6	50.663	0.0	0.0	0.0108	C
128	Spectrogram 1	6	39001.387931047	39015.427104182	0.0	295.2	14.039	0.0	0.0	0.0133	C
129	Spectrogram 1	6	39029.262811040	39059.986218915	0.0	524.2	30.723	0.0	0.0	0.0075	SU
130	Spectrogram 1	6	39231.711756971	39284.002590241	0.0	229.1	52.291	0.0	0.0	0.0172	C
131	Spectrogram 1	6	39139.134600791	39180.438255087	0.0	193.8	41.304	0.0	0.0	0.0204	C
132	Spectrogram 1	6	39105.766131311	39136.896471741	0.0	462.6	31.130	0.0	0.0	0.0085	C
133	Spectrogram 1	6	39794.011610965	39844.878180294	0.0	259.9	50.867	152.3	0.0	0.0152	SU
134	Spectrogram 1	6	39543.775006653	39614.174338605	0.0	229.1	70.399	168.0	0.0	0.0172	C
135	Spectrogram 1	6	40168.715557272	40225.482648644	0.0	167.4	56.767	0.0	0.0	0.0238	C
136	Spectrogram 1	6	40936.028482291	40992.999039940	0.0	83.7	56.971	0.0	0.0	0.0476	C
137	Spectrogram 1	6	41221.215578369	41289.987180102	0.0	198.2	68.772	152.3	0.0	0.2200	C
138	Spectrogram 1	6	41670.053874341	41733.535352864	0.0	180.6	63.481	0.0	0.0	0.0217	C
139	Spectrogram 1	6	41485.213836533	41524.075895501	0.0	195.6	38.862	0.0	0.0	0.0200	C
140	Spectrogram 1	6	42216.411363037	42281.999500000	0.0	204.4	65.588	171.9	0.0	0.0192	SD
141	Spectrogram 1	6	41885.778662396	41967.368639601	0.0	217.8	81.590	0.0	0.0	0.0182	SD
142	Spectrogram 1	6	42605.836876978	42668.911422946	0.0	217.8	63.075	168.0	0.0	0.0182	C
143	Spectrogram 1	6	42436.817750562	42495.822970984	0.0	342.2	59.005	0.0	0.0	0.0115	C
144	Spectrogram 1	6	42762.831906556	42798.235038809	0.0	200.0	35.403	171.9	0.0	0.0196	C
145	Spectrogram 1	6	42903.427104182	42971.384840806	0.0	373.3	67.958	0.0	0.0	0.0105	SD
146	Spectrogram 1	6	42974.233368689	43059.282272607	0.0	244.4	85.049	171.9	0.0	0.5484	C
147	Spectrogram 1	6	43144.331176526	43204.150262057	0.0	226.7	59.819	0.0	0.0	0.0172	C
148	Spectrogram 1	6	43564.815035230	43645.184214770	0.0	186.7	80.369	0.0	0.0	0.0213	SD
149	Spectrogram 1	6	43797.906452524	43854.266611341	0.0	333.3	56.360	144.5	0.0	0.0118	C
150	Spectrogram 1	6	44292.248569895	44366.717227393	0.0	591.1	74.469	0.0	0.0	0.0993	SD
151	Spectrogram 1	6	44515.654542389	44571.200836096	0.0	288.9	55.546	0.0	0.0	0.4521	C
152	Spectrogram 1	6	44172.000000000	44211.472457800	0.0	351.1	39.472	0.0	0.0	0.0112	C
153	Spectrogram 1	6	44694.827396194	44770.720317634	0.0	497.8	75.893	39.1	58.6	0.2913	SU
154	Spectrogram 1	6	44845.048116996	44938.032205730	0.0	208.9	92.984	0.0	62.5	0.6226	SD
155	Spectrogram 1	6	45462.831656556	45534.248319894	0.0	235.6	71.417	0.0	0.0	0.0167	C
156	Spectrogram 1	6	45265.876300113	45327.119649586	0.0	377.8	61.243	23.4	0.0	0.0729	SU
157	Spectrogram 1	6	45864.012510673	45918.948405549	0.0	573.3	54.936	156.2	0.0	0.0068	C
158	Spectrogram 1	6	46413.671163715	46487.122489827	0.0	533.3	73.451	0.0	0.0	0.0074	SU
159	Spectrogram 1	6	47006.694425584	47036.807434627	0.0	604.4	30.113	0.0	0.0	0.0065	C
160	Spectrogram 1	6	47498.188015072	47561.262561040	0.0	404.4	63.075	0.0	0.0	0.0097	SD
161	Spectrogram 1	6	47424.736688960	47472.551264130	48.9	213.3	47.815	171.9	78.1	0.4878	C
162	Spectrogram 1	6	47652.537983044	47697.910962886	26.7	177.8	45.373	62.5	66.4	0.6579	C
163	Spectrogram 1	6	48433.360618877	48508.643141485	0.0	248.9	75.283	0.0	0.0	0.2222	C
165	Spectrogram 1	6	48570.415953278	48603.377490203	0.0	426.7	32.962	0.0	0.0	0.0092	C
166	Spectrogram 1	6	48829.835456858	48929.127000188	0.0	213.3	99.292	171.9	0.0	0.3519	SD
168	Spectrogram 1	6	49688.301274115	49753.410482856	0.0	220.3	65.109	0.0	0.0	0.0179	SD
169	Spectrogram 1	6	50116.923783911	50186.712717031	132.2	207.0	69.789	156.2	144.5	0.5789	C
170	Spectrogram 1	6	50213.086950133	50289.590270404	0.0	224.7	76.503	0.0	0.0	0.0175	SD
171	Spectrogram 1	6	50791.537022984	50863.767551432	0.0	229.1	72.231	0.0	0.0	0.0172	SD
172	Spectrogram 1	6	51560.070745667	51647.154312359	0.0	211.5	87.084	0.0	0.0	0.0185	C
173	Spectrogram 1	6	52234.683984740	52310.576906179	0.0	255.5	75.893	0.0	0.0	0.0154	C
174	Spectrogram 1	6	52578.867989450	52626.275632065	0.0	511.0	47.408	156.2	0.0	0.0692	C
175	Spectrogram 1	6	52720.073585908	52883.457006594	0.0	409.7	163.383	0.0	0.0	0.0096	C
176	Spectrogram 1	6	52959.472457800	53073.006640543	0.0	237.9	113.534	3.9	0.0	0.0167	SD
177	Spectrogram 1	6	53589.933514695	53671.320025622	0.0	180.6	81.387	0.0	0.0	0.5652	SD
178	Spectrogram 1	6	54252.338777129	54327.214367182	0.0	215.9	74.876	0.0	35.2	0.6000	C
179	Spectrogram 1	6	54379.872066441	54416.495996358	0.0	207.0	36.624	62.5	50.8	0.6604	SD
180	Spectrogram 1	6	54127.166950013	54178.033519343	74.9	215.9	50.867	171.9	105.5	0.7429	C
181	Spectrogram 1	6	54685.030612472	54758.481938583	0.0	255.5	73.451	152.3	70.3	0.7231	C
182	Spectrogram 1	6	54895.130340430	54962.477678222	0.0	277.5	67.347	144.5	62.5	0.5634	C
183	Spectrogram 1	6	54984.045103617	55064.821215712	0.0	233.5	80.776	97.7	54.7	0.5424	SD
184	Spectrogram 1	6	55243.057674642	55324.240719292	0.0	193.8	81.183	97.7	85.9	0.7551	SU
185	Spectrogram 1	6	55685.719357573	55754.694425584	0.0	237.9	68.975	97.7	97.7	0.6333	C
186	Spectrogram 1	6	55868.554604371	55905.382000565	101.3	198.2	36.827	101.6	109.4	0.5833	C
187	Spectrogram 1	6	56192.065985305	56243.136020912	127.8	246.7	51.070	156.2	164.1	0.7000	C
188	Spectrogram 1	6	56290.944337731	56332.451458304	149.8	246.7	41.507	179.7	175.8	0.7083	SU
189	Spectrogram 1	6	56510.002840241	56578.164043142	88.1	198.2	68.161	152.3	109.4	0.7407	SD
190	Spectrogram 1	6	57591.060764883	57672.854208365	0.0	220.3	81.793	152.3	0.0	0.0357	SD
191	Spectrogram 1	6	57484.037503014	57549.553644310	88.1	497.8	65.516	164.1	105.5	0.1827	SU
192	Spectrogram 1	6	57969.630570460	58005.847567822	0.0	378.9	36.217	156.2	0.0	0.0312	SU
193	Spectrogram 1	6	59579.823345893	59637.811234928	0.0	215.9	57.988	175.8	0.0	0.0182	C
194	Spectrogram 1	6	60258.018041447	60305.222217784	0.0	211.5	47.204	0.0	0.0	0.0185	C
195	Spectrogram 1	6	60315.802464205	60359.547713828	0.0	220.3	43.745	0.0	0.0	0.0179	C
196	Spectrogram 1	6	60468.223755660	60524.380448200	0.0	436.1	56.157	171.9	0.0	0.2432	C
197	Spectrogram 1	6	60567.375682869	60626.584369569	0.0	211.5	59.209	0.0	0.0	0.0185	C
198	Spectrogram 1	6	60897.459164410	61003.058162337	0.0	392.1	105.599	0.0	0.0	0.0100	SD
199	Spectrogram 1	6	61528.706536549	61673.777992276	0.0	211.5	145.071	0.0	0.0	0.0185	SD
200	Spectrogram 1	6	61822.227438206	61885.301984175	0.0	302.2	63.075	0.0	0.0	0.0130	C
201	Spectrogram 1	6	62225.416663338	62308.023971929	0.0	573.3	82.607	175.8	0.0	0.0068	C
202	Spectrogram 1	6	62444.142911454	62503.555064431	0.0	355.6	59.412	0.0	0.0	0.0110	C
203	Spectrogram 1	6	62994.845187641	63074.197035795	0.0	462.2	79.352	168.0	0.0	0.0085	SU
204	Spectrogram 1	6	63110.967465339	63176.280140358	128.9	226.7	65.313	140.6	144.5	0.4400	C
205	Spectrogram 1	6	62841.578114171	62929.272079695	0.0	444.4	87.694	0.0	0.0	0.0088	SU
206	Spectrogram 1	6	63211.455836473	63302.812194989	0.0	404.4	91.356	0.0	0.0	0.0097	C
207	Spectrogram 1	6	63612.000000000	63703.966757347	0.0	504.5	91.967	0.0	0.0	0.0078	SD
208	Spectrogram 1	6	63845.556119879	63919.617844823	0.0	382.9	74.062	273.4	0.0	0.0510	C
209	Spectrogram 1	6	64124.654082329	64190.780622457	0.0	450.5	66.127	0.0	0.0	0.0087	C
210	Spectrogram 1	6	64272.980998493	64347.449655991	0.0	657.7	74.469	3.9	0.0	0.0060	SD
211	Spectrogram 1	6	64481.533932743	64553.967927468	0.0	391.9	72.434	0.0	0.0	0.0100	C
212	Spectrogram 1	6	64602.108498681	64663.351848154	0.0	558.6	61.243	0.0	0.0	0.0070	SU
213	Spectrogram 1	6	64991.746419744	65070.691335343	0.0	617.1	78.945	0.0	0.0	0.0064	SD
214	Spectrogram 1	6	65217.716517332	65289.540113225	0.0	531.5	71.824	0.0	0.0	0.0074	C
215	Spectrogram 1	6	65642.066235305	65725.080476451	0.0	531.5	83.014	0.0	0.0	0.0074	SD
216	Spectrogram 1	6	65877.476718161	65938.516601356	0.0	324.3	61.040	3.9	0.0	0.0241	C
217	Spectrogram 1	6	66214.132470610	66280.665943293	0.0	482.0	66.533	3.9	0.0	0.0650	SU
218	Spectrogram 1	6	66381.788683120	66461.140531274	0.0	545.0	79.352	3.9	0.0	0.0360	SD
219	Spectrogram 1	6	66835.030612472	66899.325956104	0.0	301.8	64.295	0.0	0.0	0.0130	C
220	Spectrogram 1	6	66594.126540128	66679.378910324	0.0	225.2	85.252	3.9	0.0	0.0351	C
221	Spectrogram 1	6	66721.496429729	66785.791773361	0.0	423.4	64.295	0.0	0.0	0.0185	SU
222	Spectrogram 1	6	66962.807434627	67019.371059721	0.0	319.8	56.564	3.9	0.0	0.0247	C
223	Spectrogram 1	6	67350.940155237	67480.344707611	0.0	400.9	129.405	3.9	0.0	0.0882	C
224	Spectrogram 1	6	67212.583086662	67271.181374529	0.0	455.0	58.598	0.0	0.0	0.0086	C
225	Spectrogram 1	6	67736.335781270	67801.444990011	0.0	378.4	65.109	0.0	0.0	0.0104	C
226	Spectrogram 1	6	68158.742869442	68243.588307084	0.0	409.9	84.845	3.9	0.0	0.1442	SD
227	Spectrogram 1	6	68250.327743979	68293.055662216	0.0	216.2	42.728	0.0	0.0	0.0364	C
228	Spectrogram 1	6	68797.139111153	68885.036542954	0.0	274.8	87.897	3.9	0.0	0.0286	SD
229	Spectrogram 1	6	69059.122739827	69125.045813677	0.0	202.7	65.923	3.9	0.0	0.0392	C
230	Spectrogram 1	6	69210.705116428	69290.870829691	0.0	459.5	80.166	0.0	0.0	0.0171	SU
231	Spectrogram 1	6	69732.922113791	69869.447985870	0.0	238.7	136.526	3.9	0.0	0.0164	C
232	Spectrogram 1	6	70062.660012811	70116.985508855	0.0	423.4	54.325	3.9	0.0	0.0185	C
233	Spectrogram 1	6	70535.638171063	70579.179954408	0.0	229.7	43.542	3.9	0.0	0.0862	C
234	Spectrogram 1	6	70627.547961760	70705.272079695	0.0	400.9	77.724	3.9	0.0	0.0196	SD
235	Spectrogram 1	6	70869.876298045	70924.405260366	0.0	328.8	54.529	3.9	0.0	0.0238	C
236	Spectrogram 1	6	71429.100188018	71511.910962886	0.0	581.1	82.811	3.9	0.0	0.0135	SD
237	Spectrogram 1	6	71888.757425266	71927.999500000	0.0	234.2	39.242	0.0	0.0	0.0169	C
238	Spectrogram 1	6	72116.882393497	72202.338229970	0.0	536.0	85.456	3.9	0.0	0.0073	SD
239	Spectrogram 1	6	72855.923067820	72937.763291070	0.0	531.5	81.840	3.9	0.0	0.0074	SD
240	Spectrogram 1	6	73092.761394622	73157.667137086	0.0	238.7	64.906	3.9	0.0	0.1311	C
241	Spectrogram 1	6	73731.200836096	73811.773481914	0.0	540.5	80.573	3.9	31.2	0.5435	SD
242	Spectrogram 1	6	74449.274922005	74540.020881688	0.0	549.5	90.746	125.0	85.9	0.5286	SD
243	Spectrogram 1	6	74921.846147702	74968.846857762	99.1	207.2	47.001	144.5	125.0	0.7407	C
244	Spectrogram 1	6	75277.515842187	75360.235038809	0.0	536.0	82.719	3.9	85.9	0.4745	SD
245	Spectrogram 1	6	76205.963417106	76281.652872268	0.0	608.1	75.689	160.2	0.0	0.2258	SD
246	Spectrogram 1	6	77027.805304446	77106.953686323	0.0	581.1	79.148	3.9	0.0	0.0135	SD
247	Spectrogram 1	6	77684.106578561	77759.999500000	0.0	644.1	75.893	0.0	0.0	0.0061	SD
248	Spectrogram 1	6	78499.234078749	78585.910712886	0.0	671.2	86.677	3.9	0.0	0.0058	SD
249	Spectrogram 1	6	79276.109918802	79351.392441409	0.0	297.3	75.283	0.0	0.0	0.0132	SD
250	Spectrogram 1	6	80495.321445742	80539.270161643	0.0	229.7	43.949	0.0	0.0	0.0172	C
251	Spectrogram 1	6	81721.369889601	81765.318605501	72.1	216.2	43.949	156.2	113.3	0.6944	C
252	Spectrogram 1	6	83009.353018274	83079.955816503	0.0	427.9	70.603	0.0	0.0	0.0092	SU
253	Spectrogram 1	6	83410.914513188	83496.980748493	0.0	274.8	86.066	0.0	0.0	0.0143	SD
254	Spectrogram 1	6	83552.446105690	83624.880100414	0.0	495.5	72.434	171.9	0.0	0.0079	SU
256	Spectrogram 1	6	84061.030862472	84134.482188583	0.0	500.0	73.451	0.0	0.0	0.0078	SU
257	Spectrogram 1	6	84244.245670308	84296.333037301	0.0	486.5	52.087	171.9	0.0	0.2823	C
258	Spectrogram 1	6	84602.373689902	84688.236458930	0.0	459.5	85.863	168.0	0.0	0.0085	SU
259	Spectrogram 1	6	85411.506938208	85462.170041260	0.0	364.9	50.663	0.0	0.0	0.0108	C
