Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Path	Begin File	File Offset (s)	calltype
7	Waveform 1	6	26057.705826488	26108.775862095	57.300	207.000	51.0700			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_070000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_070000.aif	857.7060	c
7	Spectrogram 1	6	26057.705826488	26108.775862095	57.300	207.000	51.0700	74.219	93.750	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_070000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_070000.aif	857.7060	c
9	Waveform 1	6	26922.479098342	26960.527292200	13.200	224.700	38.0482			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_071500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_071500.aif	822.4790	c
9	Spectrogram 1	6	26922.479098342	26960.527292200	13.200	224.700	38.0482	15.625	23.438	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_071500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_071500.aif	822.4790	c
10	Waveform 1	6	27673.799123964	27747.250450075	0.000	202.600	73.4513			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_073000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_073000.aif	673.7990	c
10	Spectrogram 1	6	27673.799123964	27747.250450075	0.000	202.600	73.4513	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_073000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_073000.aif	673.7990	c
11	Waveform 1	6	28918.727989956	28983.837198698	61.700	317.200	65.1092			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_080000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_080000.aif	118.7280	sd
11	Spectrogram 1	6	28918.727989956	28983.837198698	61.700	317.200	65.1092	125.000	117.188	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_080000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_080000.aif	118.7280	sd
12	Waveform 1	6	30478.096137717	30533.845897702	70.500	400.900	55.7498			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_081500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_081500.aif	778.0960	sd
12	Spectrogram 1	6	30478.096137717	30533.845897702	70.500	400.900	55.7498	74.219	117.188	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_081500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_081500.aif	778.0960	sd
13	Waveform 1	6	30994.412613037	31053.417833459	0.000	255.500	59.0052			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	394.4125	sd
13	Spectrogram 1	6	30994.412613037	31053.417833459	0.000	255.500	59.0052	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	394.4125	sd
14	Waveform 1	6	31411.437545026	31455.793193482	44.100	220.300	44.3556			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	811.4375	c
14	Spectrogram 1	6	31411.437545026	31455.793193482	44.100	220.300	44.3556	109.375	101.562	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_083000.aif	811.4375	c
15	Waveform 1	6	31644.325496044	31705.568845516	0.000	185.000	61.2433			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	144.3255	sd
15	Spectrogram 1	6	31644.325496044	31705.568845516	0.000	185.000	61.2433	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	144.3255	sd
16	Waveform 1	6	31852.410147830	31897.376195117	35.200	251.100	44.9660			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	352.4100	c
16	Spectrogram 1	6	31852.410147830	31897.376195117	35.200	251.100	44.9660	156.250	101.562	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	352.4100	c
17	Waveform 1	6	32197.876300113	32274.990019216	0.000	211.500	77.1137			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	697.8765	sd
17	Spectrogram 1	6	32197.876300113	32274.990019216	0.000	211.500	77.1137	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	697.8765	sd
18	Waveform 1	6	32382.216747362	32420.468407498	48.500	202.600	38.2517			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	882.2165	c
18	Spectrogram 1	6	32382.216747362	32420.468407498	48.500	202.600	38.2517	82.031	66.406	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_084500.aif	882.2165	c
19	Waveform 1	6	32623.243349472	32707.885320836	0.000	237.900	84.6420			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	223.2435	sd
19	Spectrogram 1	6	32623.243349472	32707.885320836	0.000	237.900	84.6420	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	223.2435	sd
20	Waveform 1	6	32918.472917860	32973.205346458	0.000	207.000	54.7324			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	518.4730	c
20	Spectrogram 1	6	32918.472917860	32973.205346458	0.000	207.000	54.7324	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	518.4730	c
21	Waveform 1	6	33002.504490392	33040.349217973	0.000	220.300	37.8447			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	602.5045	c
21	Spectrogram 1	6	33002.504490392	33040.349217973	0.000	220.300	37.8447	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_090000.aif	602.5045	c
22	Waveform 1	6	33900.493475760	33948.714983484	35.200	259.900	48.2215			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	600.4935	c
22	Spectrogram 1	6	33900.493475760	33948.714983484	35.200	259.900	48.2215	54.688	54.688	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	600.4935	c
23	Waveform 1	6	33766.195089110	33806.684878296	4.400	233.500	40.4898			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	466.1950	c
23	Spectrogram 1	6	33766.195089110	33806.684878296	4.400	233.500	40.4898	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	466.1950	c
24	Waveform 1	6	34321.130090430	34380.135310852	48.500	154.200	59.0052			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	121.1300	c
24	Spectrogram 1	6	34321.130090430	34380.135310852	48.500	154.200	59.0052	50.781	50.781	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	121.1300	c
25	Waveform 1	6	34164.054124341	34211.258300678	0.000	198.200	47.2042			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	864.0540	su
25	Spectrogram 1	6	34164.054124341	34211.258300678	0.000	198.200	47.2042	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_091500.aif	864.0540	su
26	Waveform 1	6	34218.176154107	34278.605638470	0.000	185.000	60.4295			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	18.1760	sd
26	Spectrogram 1	6	34218.176154107	34278.605638470	0.000	185.000	60.4295	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	18.1760	sd
27	Waveform 1	6	34769.081896571	34840.295093632	0.000	198.200	71.2132			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	569.0820	su
27	Spectrogram 1	6	34769.081896571	34840.295093632	0.000	198.200	71.2132	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	569.0820	su
28	Waveform 1	6	34854.334266767	34907.235498870	0.000	264.300	52.9012			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	654.3345	su
28	Spectrogram 1	6	34854.334266767	34907.235498870	0.000	264.300	52.9012	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	654.3345	su
29	Waveform 1	6	34992.203466277	35024.351138093	30.800	207.000	32.1477			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	792.2035	c
29	Spectrogram 1	6	34992.203466277	35024.351138093	30.800	207.000	32.1477	54.688	50.781	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_093000.aif	792.2035	c
31	Waveform 1	6	35456.106578561	35529.557904672	0.000	189.400	73.4513			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	356.1065	sd
31	Spectrogram 1	6	35456.106578561	35529.557904672	0.000	189.400	73.4513	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	356.1065	sd
32	Waveform 1	6	35609.642681424	35653.387931047	123.300	193.800	43.7452			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	509.6425	c
32	Spectrogram 1	6	35609.642681424	35653.387931047	123.300	193.800	43.7452	179.688	152.344	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	509.6425	c
33	Waveform 1	6	35684.111338922	35739.047233798	0.000	348.000	54.9359			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	584.1115	su
33	Spectrogram 1	6	35684.111338922	35739.047233798	0.000	348.000	54.9359	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_094500.aif	584.1115	su
34	Waveform 1	6	36176.901476072	36243.231482477	8.800	224.700	66.3300			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	176.9015	sd
34	Spectrogram 1	6	36176.901476072	36243.231482477	8.800	224.700	66.3300	125.000	66.406	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	176.9015	sd
35	Waveform 1	6	36507.174023926	36563.737649020	0.000	326.000	56.5636			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	507.1740	c
35	Spectrogram 1	6	36507.174023926	36563.737649020	0.000	326.000	56.5636	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	507.1740	c
36	Waveform 1	6	36753.571685757	36823.157152600	0.000	215.900	69.5855			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	753.5715	sd
36	Spectrogram 1	6	36753.571685757	36823.157152600	0.000	215.900	69.5855	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	753.5715	sd
37	Waveform 1	6	36592.222927845	36635.968177468	30.800	127.800	43.7452			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	592.2230	c
37	Spectrogram 1	6	36592.222927845	36635.968177468	30.800	127.800	43.7452	58.594	50.781	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_100000.aif	592.2230	c
39	Waveform 1	6	36957.567425396	37006.806264506	0.000	444.900	49.2388			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	57.5675	sd
39	Spectrogram 1	6	36957.567425396	37006.806264506	0.000	444.900	49.2388	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	57.5675	sd
40	Waveform 1	6	37076.798663904	37131.327626225	0.000	343.600	54.5290			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	176.7985	sd
40	Spectrogram 1	6	37076.798663904	37131.327626225	0.000	343.600	54.5290	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	176.7985	sd
41	Waveform 1	6	37333.166173323	37372.842097400	0.000	264.300	39.6759			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	433.1660	sd
41	Spectrogram 1	6	37333.166173323	37372.842097400	0.000	264.300	39.6759	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	433.1660	sd
42	Waveform 1	6	37388.712467031	37440.596367747	26.400	237.900	51.8839			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	488.7125	c
42	Spectrogram 1	6	37388.712467031	37440.596367747	26.400	237.900	51.8839	175.781	78.125	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	488.7125	c
43	Waveform 1	6	37553.032282592	37611.020171628	0.000	392.100	57.9879			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	653.0325	sd
43	Spectrogram 1	6	37553.032282592	37611.020171628	0.000	392.100	57.9879	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	653.0325	sd
44	Waveform 1	6	37726.385550867	37789.460096835	0.000	215.900	63.0745			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	826.3855	c
44	Spectrogram 1	6	37726.385550867	37789.460096835	0.000	215.900	63.0745	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_101500.aif	826.3855	c
45	Waveform 1	6	38285.429944424	38314.525622080	17.600	286.300	29.0957			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	485.4300	c
45	Spectrogram 1	6	38285.429944424	38314.525622080	17.600	286.300	29.0957	93.750	58.594	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	485.4300	c
46	Waveform 1	6	38464.195865674	38513.434704785	0.000	550.700	49.2388			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	664.1960	sd
46	Spectrogram 1	6	38464.195865674	38513.434704785	0.000	550.700	49.2388	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	664.1960	sd
47	Waveform 1	6	38660.947755840	38715.476718161	0.000	471.400	54.5290			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	860.9480	sd
47	Spectrogram 1	6	38660.947755840	38715.476718161	0.000	471.400	54.5290	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	860.9480	sd
48	Waveform 1	6	38717.714847212	38758.815035230	0.000	326.000	41.1002			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	17.7150	c
48	Spectrogram 1	6	38717.714847212	38758.815035230	0.000	326.000	41.1002	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	17.7150	c
49	Waveform 1	6	38866.448695931	38912.228608327	0.000	365.600	45.7799			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	166.4485	c
49	Spectrogram 1	6	38866.448695931	38912.228608327	0.000	365.600	45.7799	0.000	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	166.4485	c
50	Waveform 1	6	38598.687074981	38637.142201394	145.400	233.500	38.4551			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	798.6870	c
50	Spectrogram 1	6	38598.687074981	38637.142201394	145.400	233.500	38.4551	179.688	171.875	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_103000.aif	798.6870	c
51	Waveform 1	6	38961.793443482	39052.946335720	0.000	400.900	91.1529			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	261.7935	c
51	Spectrogram 1	6	38961.793443482	39052.946335720	0.000	400.900	91.1529	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	261.7935	c
52	Waveform 1	6	39150.610148832	39212.870829691	0.000	343.600	62.2607			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	450.6100	su
52	Spectrogram 1	6	39150.610148832	39212.870829691	0.000	343.600	62.2607	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	450.6100	su
53	Waveform 1	6	39279.811234928	39331.695135644	0.000	515.400	51.8839			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	79296_Brunswick03_002K_M06_UTCm5_20161220_104500.aif	579.8110	su
