Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Path	Begin File	File Offset (s)	calltype
6	Waveform 1	6	484.346148326	539.999500000	0.000	180.600	55.6534			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	484.3460	SD
6	Spectrogram 1	6	484.346148326	539.999500000	0.000	180.600	55.6534	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	484.3460	SD
8	Waveform 1	6	611.131760550	635.751180106	0.000	352.400	24.6194			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	611.1320	C
8	Spectrogram 1	6	611.131760550	635.751180106	0.000	352.400	24.6194	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	611.1320	C
9	Waveform 1	6	783.060764883	834.334266767	0.000	383.300	51.2735			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	783.0610	C
9	Spectrogram 1	6	783.060764883	834.334266767	0.000	383.300	51.2735	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	783.0610	C
10	Waveform 1	6	895.150025372	962.497363164	0.000	370.000	67.3473			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	895.1500	SU
10	Spectrogram 1	6	895.150025372	962.497363164	0.000	370.000	67.3473	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	895.1500	SU
11	Waveform 1	6	699.822399147	763.710810225	0.000	273.100	63.8884			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	699.8225	C
11	Spectrogram 1	6	699.822399147	763.710810225	0.000	273.100	63.8884	11.719	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_000000.aif	699.8225	C
12	Waveform 1	6	1248.917603429	1343.529422381	114.500	198.200	94.6118			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	348.9175	C
12	Spectrogram 1	6	1248.917603429	1343.529422381	114.500	198.200	94.6118	171.875	152.344	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	348.9175	C
13	Waveform 1	6	1597.170933685	1670.418793519	0.000	400.900	73.2479			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	697.1710	SU
13	Spectrogram 1	6	1597.170933685	1670.418793519	0.000	400.900	73.2479	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_001500.aif	697.1710	SU
14	Waveform 1	6	2001.784422758	2109.011150904	0.000	392.100	107.2267			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	201.7845	SU
14	Spectrogram 1	6	2001.784422758	2109.011150904	0.000	392.100	107.2267	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	201.7845	SU
15	Waveform 1	6	2492.464147136	2570.391731349	0.000	326.000	77.9276			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	692.4640	SU
15	Spectrogram 1	6	2492.464147136	2570.391731349	0.000	326.000	77.9276	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_003000.aif	692.4640	SU
16	Waveform 1	6	2804.784882818	2878.439675207	0.000	237.900	73.6548			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	104.7850	SU
16	Spectrogram 1	6	2804.784882818	2878.439675207	0.000	237.900	73.6548	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	104.7850	SU
17	Waveform 1	6	2920.272791824	2954.455126413	0.000	259.900	34.1823			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	220.2730	C
17	Spectrogram 1	6	2920.272791824	2954.455126413	0.000	259.900	34.1823	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	220.2730	C
18	Waveform 1	6	3222.420213640	3316.218167483	0.000	418.500	93.7980			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	522.4200	SU
18	Spectrogram 1	6	3222.420213640	3316.218167483	0.000	418.500	93.7980	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	522.4200	SU
19	Waveform 1	6	2979.481478523	3112.141491334	0.000	224.700	132.6600			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	279.4815	SU
19	Spectrogram 1	6	2979.481478523	3112.141491334	0.000	224.700	132.6600	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	279.4815	SU
20	Waveform 1	6	3072.872499812	3102.782042577	0.000	356.800	29.9095			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	372.8725	C
20	Spectrogram 1	6	3072.872499812	3102.782042577	0.000	356.800	29.9095	3.906	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	372.8725	C
21	Waveform 1	6	3150.910267268	3260.782057019	0.000	246.700	109.8718			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	450.9105	SU
21	Spectrogram 1	6	3150.910267268	3260.782057019	0.000	246.700	109.8718	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	450.9105	SU
22	Waveform 1	6	3373.909307208	3455.999500000	0.000	220.300	82.0902			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	673.9095	SU
22	Spectrogram 1	6	3373.909307208	3455.999500000	0.000	220.300	82.0902	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	673.9095	SU
24	Waveform 1	6	3488.473167860	3587.357778636	0.000	215.900	98.8846			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	788.4730	SU
24	Spectrogram 1	6	3488.473167860	3587.357778636	0.000	215.900	98.8846	11.719	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_004500.aif	788.4730	SU
25	Waveform 1	6	3750.991619694	3812.845367998	0.000	449.300	61.8537			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	150.9915	SU
25	Spectrogram 1	6	3750.991619694	3812.845367998	0.000	449.300	61.8537	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	150.9915	SU
26	Waveform 1	6	3837.206850724	3919.814159315	0.000	317.200	82.6073			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	237.2070	C
26	Spectrogram 1	6	3837.206850724	3919.814159315	0.000	317.200	82.6073	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	237.2070	C
27	Waveform 1	6	3613.393945675	3726.724662141	0.000	189.400	113.3307			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	13.3940	SU
27	Spectrogram 1	6	3613.393945675	3726.724662141	0.000	189.400	113.3307	167.969	0.000	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	13.3940	SU
28	Waveform 1	6	4213.342577430	4323.621299736	0.000	211.500	110.2787			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	613.3425	SD
28	Spectrogram 1	6	4213.342577430	4323.621299736	0.000	211.500	110.2787	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	613.3425	SD
29	Waveform 1	6	4110.178291450	4182.001887343	66.100	189.400	71.8236			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	510.1785	C
29	Spectrogram 1	6	4110.178291450	4182.001887343	66.100	189.400	71.8236	74.219	74.219	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_010000.aif	510.1785	C
30	Waveform 1	6	4667.601838169	4739.832366616	0.000	462.600	72.2305			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	167.6020	SD
30	Spectrogram 1	6	4667.601838169	4739.832366616	0.000	462.600	72.2305	15.625	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	167.6020	SD
31	Waveform 1	6	5234.174483986	5292.976238131	0.000	251.100	58.8018			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	734.1745	C
31	Spectrogram 1	6	5234.174483986	5292.976238131	0.000	251.100	58.8018	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	734.1745	C
32	Waveform 1	6	5362.073835908	5409.278012246	0.000	193.800	47.2042			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	862.0740	C
32	Spectrogram 1	6	5362.073835908	5409.278012246	0.000	193.800	47.2042	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_011500.aif	862.0740	C
33	Waveform 1	6	5927.018751507	5970.560534853	127.800	220.300	43.5418			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	527.0190	C
33	Spectrogram 1	6	5927.018751507	5970.560534853	127.800	220.300	43.5418	167.969	160.156	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	527.0190	C
34	Waveform 1	6	6181.148131876	6268.638631123	0.000	211.500	87.4905			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	781.1480	C
34	Spectrogram 1	6	6181.148131876	6268.638631123	0.000	211.500	87.4905	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_013000.aif	781.1480	C
35	Waveform 1	6	6774.781792577	6843.756860588	0.000	528.600	68.9751			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	474.7820	SU
35	Spectrogram 1	6	6774.781792577	6843.756860588	0.000	528.600	68.9751	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	474.7820	SU
36	Waveform 1	6	6535.301984175	6573.757110588	0.000	220.300	38.4551			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	235.3020	C
36	Spectrogram 1	6	6535.301984175	6573.757110588	0.000	220.300	38.4551	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	235.3020	C
38	Waveform 1	6	6938.287743029	7034.323825923	0.000	299.600	96.0361			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	638.2875	SD
38	Spectrogram 1	6	6938.287743029	7034.323825923	0.000	299.600	96.0361	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_014500.aif	638.2875	SD
39	Waveform 1	6	7330.896721741	7392.343537491	0.000	541.900	61.4468			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	130.8965	SU
39	Spectrogram 1	6	7330.896721741	7392.343537491	0.000	541.900	61.4468	7.812	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	130.8965	SU
40	Waveform 1	6	7631.619879616	7687.776572155	0.000	440.500	56.1567			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	431.6200	SU
40	Spectrogram 1	6	7631.619879616	7687.776572155	0.000	440.500	56.1567	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	431.6200	SU
41	Waveform 1	6	7704.257340618	7760.820965712	61.700	229.100	56.5636			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	504.2575	C
41	Spectrogram 1	6	7704.257340618	7760.820965712	61.700	229.100	56.5636	74.219	70.312	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	504.2575	C
42	Waveform 1	6	7529.556816508	7586.527374156	145.200	201.600	56.9706			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	329.5570	SD
42	Spectrogram 1	6	7529.556816508	7586.527374156	145.200	201.600	56.9706	152.344	164.062	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	329.5570	SD
43	Waveform 1	6	8087.506870573	8142.239299171	0.000	528.200	54.7324			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	887.5070	SU
43	Spectrogram 1	6	8087.506870573	8142.239299171	0.000	528.200	54.7324	11.719	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_020000.aif	887.5070	SU
44	Waveform 1	6	8116.195615674	8167.062185004	0.000	193.500	50.8666			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	16.1955	C
44	Spectrogram 1	6	8116.195615674	8167.062185004	0.000	193.500	50.8666	3.906	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	16.1955	C
45	Waveform 1	6	8821.044393557	8879.439215147	0.000	689.500	58.3948			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	721.0445	SU
45	Spectrogram 1	6	8821.044393557	8879.439215147	0.000	689.500	58.3948	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	721.0445	SU
46	Waveform 1	6	8890.403093952	8971.185277218	0.000	229.100	80.7822			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	790.4030	SD
46	Spectrogram 1	6	8890.403093952	8971.185277218	0.000	229.100	80.7822	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_021500.aif	790.4030	SD
47	Waveform 1	6	9016.094238186	9070.311929920	105.700	242.300	54.2177			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	16.0940	SD
47	Spectrogram 1	6	9016.094238186	9070.311929920	105.700	242.300	54.2177	109.375	144.531	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	16.0940	SD
48	Waveform 1	6	9293.661235081	9366.386974194	118.900	176.200	72.7257			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	293.6610	C
48	Spectrogram 1	6	9293.661235081	9366.386974194	118.900	176.200	72.7257	167.969	148.438	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	293.6610	C
49	Waveform 1	6	9369.870841935	9424.306275403	0.000	511.000	54.4354			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	369.8710	SU
49	Spectrogram 1	6	9369.870841935	9424.306275403	0.000	511.000	54.4354	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	369.8710	SU
50	Waveform 1	6	9729.145152823	9817.983780242	0.000	299.600	88.8386			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	729.1450	SD
50	Spectrogram 1	6	9729.145152823	9817.983780242	0.000	299.600	88.8386	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	729.1450	SD
51	Waveform 1	6	9847.814397782	9906.604665927	0.000	493.400	58.7903			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	847.8145	SU
51	Spectrogram 1	6	9847.814397782	9906.604665927	0.000	493.400	58.7903	3.906	3.906	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_023000.aif	847.8145	SU
52	Waveform 1	6	10373.661135081	10428.749793750	0.000	550.700	55.0887			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	473.6610	SU
52	Spectrogram 1	6	10373.661135081	10428.749793750	0.000	550.700	55.0887	7.812	7.812	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	473.6610	SU
53	Waveform 1	6	10710.072563911	10788.241846371	0.000	233.500	78.1693			C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	79296_Brunswick03_002K_M06_UTCm5_20161218_024500.aif	810.0725	SD
