Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Hour	File Offset (s)	Begin File	Begin Path	Begin Date	Begin Clock Time	calltype
7	Spectrogram 1	6	4011.097097777	4064.812194989	61.700	295.200	53.7151	74.219	78.125	1	411.0970	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	2016/12/17	1:06:51.0971	sd
8	Waveform 1	6	4130.831677150	4220.260430859	83.700	202.600	89.4288			1	530.8315	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	2016/12/17	1:08:50.8317	su
8	Spectrogram 1	6	4130.831677150	4220.260430859	83.700	202.600	89.4288	97.656	109.375	1	530.8315	79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_010000.aif	2016/12/17	1:08:50.8317	su
9	Waveform 1	6	4770.148841937	4853.773481914	0.000	211.500	83.6246			1	270.1490	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	2016/12/17	1:19:30.1488	su
9	Spectrogram 1	6	4770.148841937	4853.773481914	0.000	211.500	83.6246	74.219	3.906	1	270.1490	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	2016/12/17	1:19:30.1488	su
10	Waveform 1	6	5376.113009043	5430.845437641	66.100	286.300	54.7324			1	876.1130	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	2016/12/17	1:29:36.1130	c
10	Spectrogram 1	6	5376.113009043	5430.845437641	66.100	286.300	54.7324	74.219	105.469	1	876.1130	79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_011500.aif	2016/12/17	1:29:36.1130	c
11	Waveform 1	6	5446.105408440	5526.474587980	0.000	229.100	80.3692			1	46.1055	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	2016/12/17	1:30:46.1054	sd
11	Spectrogram 1	6	5446.105408440	5526.474587980	0.000	229.100	80.3692	70.312	0.000	1	46.1055	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	2016/12/17	1:30:46.1054	sd
12	Waveform 1	6	6035.662860214	6124.577623402	0.000	185.000	88.9148			1	635.6630	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	2016/12/17	1:40:35.6629	sd
12	Spectrogram 1	6	6035.662860214	6124.577623402	0.000	185.000	88.9148	0.000	0.000	1	635.6630	79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_013000.aif	2016/12/17	1:40:35.6629	sd
13	Waveform 1	6	6672.438255087	6776.816455350	0.000	224.700	104.3782			1	372.4385	79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	2016/12/17	1:51:12.4383	sd
13	Spectrogram 1	6	6672.438255087	6776.816455350	0.000	224.700	104.3782	0.000	0.000	1	372.4385	79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_014500.aif	2016/12/17	1:51:12.4383	sd
14	Waveform 1	6	7385.832616616	7434.054124341	79.300	237.900	48.2215			2	185.8325	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:03:05.8326	c
14	Spectrogram 1	6	7385.832616616	7434.054124341	79.300	237.900	48.2215	82.031	109.375	2	185.8325	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:03:05.8326	c
15	Waveform 1	6	7617.173773926	7714.023721929	0.000	202.600	96.8499			2	417.1740	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:06:57.1738	sd
15	Spectrogram 1	6	7617.173773926	7714.023721929	0.000	202.600	96.8499	74.219	0.000	2	417.1740	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:06:57.1738	sd
16	Waveform 1	6	8070.415703278	8120.875340053	0.000	207.000	50.4596			2	870.4155	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:14:30.4157	c
16	Spectrogram 1	6	8070.415703278	8120.875340053	0.000	207.000	50.4596	7.812	0.000	2	870.4155	79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_020000.aif	2016/12/17	2:14:30.4157	c
17	Waveform 1	6	8255.953156680	8306.616259732	101.300	211.500	50.6631			2	155.9530	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:17:35.9532	c
17	Spectrogram 1	6	8255.953156680	8306.616259732	101.300	211.500	50.6631	171.875	140.625	2	155.9530	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:17:35.9532	c
18	Waveform 1	6	8313.883900716	8352.745959683	74.900	167.400	38.8621			2	213.8840	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:18:33.8839	c
18	Spectrogram 1	6	8313.883900716	8352.745959683	74.900	167.400	38.8621	78.125	101.562	2	213.8840	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:18:33.8839	c
19	Waveform 1	6	8850.140071213	8929.898851922	114.500	211.500	79.7588			2	750.1400	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:27:30.1401	c
19	Spectrogram 1	6	8850.140071213	8929.898851922	114.500	211.500	79.7588	171.875	148.438	2	750.1400	79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_021500.aif	2016/12/17	2:27:30.1401	c
20	Waveform 1	6	9119.325956104	9172.227188206	123.300	237.900	52.9012			2	119.3260	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:31:59.3260	c
20	Spectrogram 1	6	9119.325956104	9172.227188206	123.300	237.900	52.9012	171.875	156.250	2	119.3260	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:31:59.3260	c
21	Waveform 1	6	9533.095427656	9622.010190844	0.000	296.000	88.9148			2	533.0955	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:38:53.0954	sd
21	Spectrogram 1	6	9533.095427656	9622.010190844	0.000	296.000	88.9148	0.000	0.000	2	533.0955	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:38:53.0954	sd
22	Waveform 1	6	9246.207976639	9298.702276187	0.000	197.300	52.4943			2	246.2080	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:34:06.2080	c
22	Spectrogram 1	6	9246.207976639	9298.702276187	0.000	197.300	52.4943	0.000	0.000	2	246.2080	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:34:06.2080	c
23	Waveform 1	6	9673.894091560	9720.894801620	139.000	215.200	47.0007			2	673.8940	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:41:13.8941	c
23	Spectrogram 1	6	9673.894091560	9720.894801620	139.000	215.200	47.0007	175.781	164.062	2	673.8940	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:41:13.8941	c
24	Waveform 1	6	9783.684944800	9834.958446684	134.500	201.800	51.2735			2	783.6850	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:43:03.6849	c
24	Spectrogram 1	6	9783.684944800	9834.958446684	134.500	201.800	51.2735	179.688	156.250	2	783.6850	79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_023000.aif	2016/12/17	2:43:03.6849	c
25	Waveform 1	6	10188.390637149	10286.979578372	143.500	219.700	98.5889			2	288.3905	79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	2016/12/17	2:49:48.3906	c
25	Spectrogram 1	6	10188.390637149	10286.979578372	143.500	219.700	98.5889	199.219	164.062	2	288.3905	79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_024500.aif	2016/12/17	2:49:48.3906	c
26	Waveform 1	6	11547.087827054	11631.933264695	134.500	269.100	84.8454			3	747.0880	79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	2016/12/17	3:12:27.0878	c
26	Spectrogram 1	6	11547.087827054	11631.933264695	134.500	269.100	84.8454	171.875	164.062	3	747.0880	79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_030000.aif	2016/12/17	3:12:27.0878	c
27	Waveform 1	6	12204.935894876	12256.412863037	125.600	170.400	51.4770			3	504.9360	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	2016/12/17	3:23:24.9359	c
27	Spectrogram 1	6	12204.935894876	12256.412863037	125.600	170.400	51.4770	164.062	140.625	3	504.9360	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	2016/12/17	3:23:24.9359	c
28	Waveform 1	6	12324.980998493	12375.847567822	112.100	219.700	50.8666			3	624.9810	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	2016/12/17	3:25:24.9810	c
28	Spectrogram 1	6	12324.980998493	12375.847567822	112.100	219.700	50.8666	171.875	136.719	3	624.9810	79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_031500.aif	2016/12/17	3:25:24.9810	c
29	Waveform 1	6	12616.548173888	12660.089957234	125.600	210.800	43.5418			3	16.5480	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:30:16.5482	c
29	Spectrogram 1	6	12616.548173888	12660.089957234	125.600	210.800	43.5418	132.812	152.344	3	16.5480	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:30:16.5482	c
30	Waveform 1	6	12933.874629992	12991.862519028	121.100	224.200	57.9879			3	333.8745	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:35:33.8746	c
30	Spectrogram 1	6	12933.874629992	12991.862519028	121.100	224.200	57.9879	175.781	152.344	3	333.8745	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:35:33.8746	c
31	Waveform 1	6	13156.589267144	13209.490499246	125.600	183.900	52.9012			3	556.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:39:16.5893	c
31	Spectrogram 1	6	13156.589267144	13209.490499246	125.600	183.900	52.9012	164.062	144.531	3	556.5895	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:39:16.5893	c
32	Waveform 1	6	13316.513761115	13358.427814243	148.000	188.300	41.9141			3	716.5140	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:41:56.5138	c
32	Spectrogram 1	6	13316.513761115	13358.427814243	148.000	188.300	41.9141	167.969	160.156	3	716.5140	79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_033000.aif	2016/12/17	3:41:56.5138	c
33	Waveform 1	6	13518.148841937	13576.747129804	139.000	246.600	58.5983			3	18.1490	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:45:18.1488	c
33	Spectrogram 1	6	13518.148841937	13576.747129804	139.000	246.600	58.5983	167.969	171.875	3	18.1490	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:45:18.1488	c
34	Waveform 1	6	14124.519941598	14185.152892238	148.000	210.800	60.6330			3	624.5200	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:55:24.5199	c
34	Spectrogram 1	6	14124.519941598	14185.152892238	148.000	210.800	60.6330	167.969	164.062	3	624.5200	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:55:24.5199	c
35	Waveform 1	6	14257.586886963	14310.895051620	134.500	246.600	53.3082			3	757.5870	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:57:37.5869	c
35	Spectrogram 1	6	14257.586886963	14310.895051620	134.500	246.600	53.3082	179.688	164.062	3	757.5870	79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_034500.aif	2016/12/17	3:57:37.5869	c
36	Waveform 1	6	15850.688495102	15915.390771289	134.500	206.300	64.7023			4	550.6885	79296_Brunswick03_002K_M06_UTCm5_20161217_041500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_041500.aif	2016/12/17	4:24:10.6885	c
36	Spectrogram 1	6	15850.688495102	15915.390771289	134.500	206.300	64.7023	171.875	156.250	4	550.6885	79296_Brunswick03_002K_M06_UTCm5_20161217_041500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_041500.aif	2016/12/17	4:24:10.6885	c
37	Waveform 1	6	16958.807434627	17008.453206292	89.700	224.200	49.6458			4	758.8075	79296_Brunswick03_002K_M06_UTCm5_20161217_043000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_043000.aif	2016/12/17	4:42:38.8074	c
37	Spectrogram 1	6	16958.807434627	17008.453206292	89.700	224.200	49.6458	171.875	117.188	4	758.8075	79296_Brunswick03_002K_M06_UTCm5_20161217_043000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_043000.aif	2016/12/17	4:42:38.8074	c
38	Waveform 1	6	21228.836166918	21286.824055953	130.000	201.800	57.9879			5	528.8360	79296_Brunswick03_002K_M06_UTCm5_20161217_054500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_054500.aif	2016/12/17	5:53:48.8362	c
38	Spectrogram 1	6	21228.836166918	21286.824055953	130.000	201.800	57.9879	171.875	152.344	5	528.8360	79296_Brunswick03_002K_M06_UTCm5_20161217_054500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_054500.aif	2016/12/17	5:53:48.8362	c
39	Waveform 1	6	21714.022301809	21768.754730407	0.000	255.600	54.7324			6	114.0225	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:01:54.0223	c
39	Spectrogram 1	6	21714.022301809	21768.754730407	0.000	255.600	54.7324	3.906	3.906	6	114.0225	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:01:54.0223	c
40	Waveform 1	6	21965.222217784	22011.205596458	0.000	291.500	45.9834			6	365.2220	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:06:05.2222	sd
40	Spectrogram 1	6	21965.222217784	22011.205596458	0.000	291.500	45.9834	0.000	0.000	6	365.2220	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:06:05.2222	sd
41	Waveform 1	6	21870.000000000	21896.247149774	152.500	183.900	26.2471			6	270.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:04:30.0000	c
41	Spectrogram 1	6	21870.000000000	21896.247149774	152.500	183.900	26.2471	171.875	167.969	6	270.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:04:30.0000	c
42	Waveform 1	6	22171.943955539	22224.845187641	0.000	192.800	52.9012			6	571.9440	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:09:31.9440	sd
42	Spectrogram 1	6	22171.943955539	22224.845187641	0.000	192.800	52.9012	0.000	0.000	6	571.9440	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:09:31.9440	sd
43	Waveform 1	6	22791.824766014	22844.929464393	0.000	520.200	53.1047			6	291.8250	79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	2016/12/17	6:19:51.8248	su
43	Spectrogram 1	6	22791.824766014	22844.929464393	0.000	520.200	53.1047	0.000	3.906	6	291.8250	79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	2016/12/17	6:19:51.8248	su
44	Waveform 1	6	22478.690165222	22533.219127543	107.600	219.700	54.5290			6	878.6900	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:14:38.6902	c
